image_id,x,y,dominant_class,pixel_counts_per_class
2ae016457e8ff8e21723a91b57a96d7d,1024,0,0,"{""0"": 241276, ""1"": 20868, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,512,512,0,"{""0"": 160140, ""1"": 101720, ""2"": 284, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,1024,512,1,"{""0"": 56964, ""1"": 205180, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,0,1024,0,"{""0"": 259368, ""1"": 2776, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,512,1024,1,"{""0"": 30376, ""1"": 223796, ""2"": 1596, ""3"": 6176, ""4"": 0, ""5"": 200}"
2ae016457e8ff8e21723a91b57a96d7d,1024,1024,1,"{""0"": 9984, ""1"": 251080, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1080}"
2ae016457e8ff8e21723a91b57a96d7d,1536,1024,0,"{""0"": 202516, ""1"": 59628, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,0,1536,0,"{""0"": 188952, ""1"": 72372, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 820}"
2ae016457e8ff8e21723a91b57a96d7d,512,1536,1,"{""0"": 0, ""1"": 241392, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 20752}"
2ae016457e8ff8e21723a91b57a96d7d,1024,1536,1,"{""0"": 0, ""1"": 254840, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 7304}"
2ae016457e8ff8e21723a91b57a96d7d,1536,1536,0,"{""0"": 134020, ""1"": 127300, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 824}"
2ae016457e8ff8e21723a91b57a96d7d,0,2048,1,"{""0"": 124060, ""1"": 137684, ""2"": 400, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,512,2048,1,"{""0"": 0, ""1"": 261608, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 536}"
2ae016457e8ff8e21723a91b57a96d7d,1024,2048,1,"{""0"": 32, ""1"": 258628, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 3484}"
2ae016457e8ff8e21723a91b57a96d7d,1536,2048,0,"{""0"": 194168, ""1"": 66560, ""2"": 1416, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,0,2560,0,"{""0"": 140876, ""1"": 116600, ""2"": 4668, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,512,2560,1,"{""0"": 0, ""1"": 261576, ""2"": 568, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,1024,2560,1,"{""0"": 119512, ""1"": 137520, ""2"": 5112, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,1536,2560,0,"{""0"": 260208, ""1"": 1936, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,0,3072,0,"{""0"": 261344, ""1"": 800, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
2ae016457e8ff8e21723a91b57a96d7d,512,3072,0,"{""0"": 223776, ""1"": 38368, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0}"
