sid,n_cand,n_keep,n_lowtissue,n_pen,frac_lowtissue,frac_keep,n_lost_cancer_tiles,max_lost_cancer,max_kept_cancer
0018ae58b01b,167,128,39,0,0.23353293413173654,0.7664670658682635,10,7.46,69.6487
006f6aa35a78,42,28,14,0,0.3333333333333333,0.6666666666666666,5,9.2911,58.5709
007433133235,101,69,32,0,0.31683168316831684,0.6831683168316832,0,0.0,0.0
0076bcb66e46,174,125,48,1,0.27586206896551724,0.7183908045977011,6,5.4642,52.2659
008069b542b0,167,124,43,0,0.25748502994011974,0.7425149700598802,5,11.8698,70.2133
00928370e2df,358,226,24,108,0.0670391061452514,0.6312849162011173,10,13.9587,92.1646
00951a7fad04,153,86,24,43,0.1568627450980392,0.5620915032679739,0,0.0,51.767
00a26aaa82c9,145,99,46,0,0.31724137931034485,0.6827586206896552,19,9.7168,68.0862
00a7fb880dc1,230,191,39,0,0.16956521739130434,0.8304347826086956,17,13.6551,66.4459
00bbc1482301,182,141,41,0,0.22527472527472528,0.7747252747252747,3,3.0518,50.0458
00c15b23b30a,276,217,59,0,0.213768115942029,0.7862318840579711,10,14.3173,72.6288
00c46b336b5b,230,170,43,17,0.18695652173913044,0.7391304347826086,11,7.2067,70.6497
00c52cb4db1c,190,145,45,0,0.23684210526315788,0.7631578947368421,5,3.8864,48.6252
00ca0c23961b,277,210,62,5,0.22382671480144403,0.7581227436823105,10,14.3066,87.59
00e651143564,228,171,57,0,0.25,0.75,20,12.7609,73.0347
00ed4dbf9af6,129,63,31,34,0.24031007751937986,0.4883720930232558,9,10.82,60.1944
00f6ea010b00,179,126,53,0,0.29608938547486036,0.7039106145251397,21,13.1378,58.1512
010670e9572e,205,166,39,0,0.1902439024390244,0.8097560975609757,13,7.7271,68.6371
010dea54bfd0,234,174,60,0,0.2564102564102564,0.7435897435897436,6,5.7617,41.7603
01227af585a4,104,68,7,29,0.0673076923076923,0.6538461538461539,0,0.0,62.1155
01571191abf6,185,138,47,0,0.25405405405405407,0.745945945945946,18,13.6108,74.4949
01642d24ac55,149,94,43,12,0.28859060402684567,0.6308724832214765,0,0.0,0.0
0186f4811c9d,197,133,63,1,0.3197969543147208,0.6751269035532995,7,7.785,55.1392
018eabc8f450,129,90,39,0,0.3023255813953488,0.6976744186046512,7,9.2102,45.2286
019f98ef49bc,64,49,15,0,0.234375,0.765625,4,4.4998,57.0358
01a5e35b1ae2,152,101,51,0,0.3355263157894737,0.6644736842105263,20,14.7491,81.0883
01a9472f2b06,247,188,58,0,0.23481781376518218,0.7611336032388664,16,7.0038,53.7399
01ad256f991c,155,124,29,2,0.1870967741935484,0.8,19,9.3567,59.23
01afe81220f7,153,118,32,3,0.20915032679738563,0.7712418300653595,6,5.629,71.1487
01c669f3f6a1,235,179,56,0,0.23829787234042554,0.7617021276595745,10,5.8868,55.1239
01d20d68bce4,198,104,23,71,0.11616161616161616,0.5252525252525253,0,0.0,57.4341
01d647e17ee8,79,54,25,0,0.31645569620253167,0.6835443037974683,12,12.8174,84.314
01e5bb47fb34,156,111,45,0,0.28846153846153844,0.7115384615384616,15,9.7458,62.1536
01f25f639277,205,151,54,0,0.2634146341463415,0.7365853658536585,25,12.8464,74.4995
02146992e188,95,69,22,4,0.23157894736842105,0.7263157894736842,7,17.366,80.188
0214df71ae52,266,204,62,0,0.23308270676691728,0.7669172932330827,16,9.8099,91.8777
022544d1446c,165,124,32,9,0.19393939393939394,0.7515151515151515,4,5.069,60.7422
022a0bb89170,155,121,34,0,0.21935483870967742,0.7806451612903226,23,18.219,82.8384
0240270d6116,160,115,45,0,0.28125,0.71875,15,10.9421,76.6022
02577ddcd838,217,160,57,0,0.2626728110599078,0.7373271889400922,0,0.0,0.0
