from_epoch,epoch,pattern,cancer_dice,L_slide,L_pixel,d_dice,d_L_slide,d_L_pixel,note
9,10,mixed,0.560395,1.569087,0.35263,0.019442999999999988,-0.015310000000000157,-0.0019259999999999833,only one side moved
10,11,mixed,0.503964,1.539946,0.363458,-0.05643100000000001,-0.02914099999999986,0.010828000000000004,only one side moved
11,12,fighting,0.457491,1.448994,0.343144,-0.04647299999999999,-0.09095200000000014,-0.020314,L_slide down + Dice down
12,13,together,0.556511,1.503077,0.351739,0.09902,0.0540830000000001,0.00859500000000002,co-moved (not the fight signature)
13,14,together,0.53714,1.588117,0.351553,-0.019371000000000027,0.08504,-0.00018600000000001948,both worsened (bounce)
14,15,together,0.579072,1.425583,0.3479,0.04193200000000008,-0.16253399999999996,-0.0036530000000000173,both improved
15,16,together,0.520935,1.516765,0.347351,-0.058136999999999994,0.09118199999999987,-0.0005489999999999662,both worsened (bounce)
16,17,flat,0.507173,1.49011,0.354267,-0.013762000000000052,-0.026654999999999873,0.006915999999999978,neither moved
17,18,mixed,0.459966,1.467534,0.34966,-0.047207,-0.02257600000000015,-0.004606999999999972,only one side moved
18,19,together,0.545224,1.350528,0.341871,0.08525800000000006,-0.11700599999999994,-0.007789000000000046,both improved
19,20,together,0.497393,1.495836,0.337054,-0.04783100000000007,0.145308,-0.00481699999999996,both worsened (bounce)
20,21,together,0.544056,1.371819,0.343487,0.04666300000000001,-0.12401700000000004,0.0064329999999999665,both improved
21,22,mixed,0.541013,1.531594,0.348874,-0.003043000000000018,0.159775,0.005387000000000031,only one side moved
22,23,fighting,0.489433,1.418775,0.3524,-0.05157999999999996,-0.112819,0.0035259999999999736,L_slide down + Dice down
23,24,mixed,0.550212,1.448989,0.344019,0.06077900000000003,0.030214000000000185,-0.008380999999999972,only one side moved
24,25,mixed,0.514378,1.41747,0.331953,-0.03583400000000003,-0.031519000000000075,-0.012066000000000021,only one side moved
25,26,mixed,0.541579,1.455405,0.342044,0.02720100000000003,0.03793500000000005,0.010091000000000017,only one side moved
26,27,flat,0.546485,1.475401,0.339604,0.004905999999999966,0.019995999999999903,-0.0024399999999999977,neither moved
