epoch,train_loss,val_loss,cancer_dice,mean_dice,L_pixel,L_slide,L_grade,lr,lr_init,lr_schedule,lr_frac_of_init,lambda_slide_scheduled,lambda_slide_warmup_done,lr_warmup,pixel_micro_bs,isup_live_intended,isup_live_in_memory,grad_accum_named,optimizer_step,val_patches,val_slides_in_subsample,val_pool_patches,val_subset_fixed
1,0.833617,0.333457,0.529493,0.661095,0.386936,1.957113,1.488937,9.997557473810373e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9997557473810372,0.0,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
2,0.697301,0.332058,0.505297,0.640157,0.348,1.806645,1.164335,9.990232305719946e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9990232305719946,0.0,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
3,0.673793,0.325952,0.520674,0.65429,0.34031,1.738305,1.11161,9.978031724785248e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9978031724785248,0.0,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
4,0.680755,0.32251,0.599841,0.704147,0.333195,1.731755,1.158534,9.960967771506668e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9960967771506668,0.0,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
5,0.672264,0.32527,0.546103,0.664627,0.326748,1.791945,1.151721,9.939057285945934e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9939057285945934,0.0,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
6,0.781278,0.318738,0.599939,0.708329,0.347588,1.777365,1.090161,9.912321891107012e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9912321891107011,0.06,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
7,0.857233,0.317662,0.608312,0.705282,0.343101,1.689406,1.038009,9.880787971596802e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9880787971596802,0.12,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
8,0.988373,0.323719,0.553086,0.675818,0.346032,1.685663,1.129741,9.844486647586726e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9844486647586725,0.18,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
9,1.100387,0.325024,0.540952,0.661781,0.354556,1.584397,1.218586,9.80345374410087e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9803453744100871,0.24,False,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
10,1.130294,0.343115,0.560395,0.676205,0.35263,1.569087,1.023127,9.757729755661012e-05,0.0001,CosineAnnealingLR T_max=100 eta_min=1e-6 (no LR warmup),0.9757729755661012,0.3,True,none,4,64,4,0,"1 per slide bag (pixel micros accumulate grads, then ISUP backward, then step)",20000,472,55516,yes seed=42 same 20k patches every epoch
