epoch,stem,panda_plus_cancer_dice,mean_dice,status,job_id,ckpt,csv
42,epoch_042_cancer_0.7420,0.553992,0.570013,complete,prior,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_042_cancer_0.7420.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_042_cancer_0.7420_labeled.csv
005,epoch_005_periodic,,,queued,5445432,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_005_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_005_periodic_labeled.csv
010,epoch_010_periodic,,,queued,5445433,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_010_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_010_periodic_labeled.csv
015,epoch_015_periodic,,,queued,5445434,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_015_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_015_periodic_labeled.csv
020,epoch_020_periodic,,,queued,5445435,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_020_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_020_periodic_labeled.csv
025,epoch_025_periodic,,,queued,5445436,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_025_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_025_periodic_labeled.csv
030,epoch_030_periodic,,,queued,5445437,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_030_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_030_periodic_labeled.csv
035,epoch_035_cancer_0.7262,,,queued,5445438,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_035_cancer_0.7262.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_035_cancer_0.7262_labeled.csv
040,epoch_040_periodic,,,queued,5445439,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_040_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_040_periodic_labeled.csv
041,epoch_041_cancer_0.7301,,,queued,5445440,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_041_cancer_0.7301.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_041_cancer_0.7301_labeled.csv
045,epoch_045_periodic,,,queued,5445441,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_045_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_045_periodic_labeled.csv
050,epoch_050_periodic,,,queued,5445442,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_050_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_050_periodic_labeled.csv
055,epoch_055_periodic,,,queued,5445443,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_055_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_055_periodic_labeled.csv
060,epoch_060_periodic,,,queued,5445444,outputs/checkpoints/uni2_upernet_raw_h200x4/epoch_060_periodic.pth,outputs/evaluation/uni2_upernet_raw_panda_plus_epoch_060_periodic_labeled.csv
