image_id,sources,tier,frozen_on
00928370e2dfeb8a507667ef1d4efcbb,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
00951a7fad040bf7e90f32e81fc0746f,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
00c15b23b30a5ba061358d9641118904,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
00c46b336b5b06423fcdec1b4d5bee06,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
00ca0c23961b5510be46c917be11c43e,confirmed_twins_gallery|lower_iou_implied_twin,1.0,2026-08-09
01a5e35b1ae21f3cfbe100b4b6aef451,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
01d20d68bce47bec01d816b893630f18,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
0277b937ddc8679ae69b3c54bfd714f1,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
02a7b258e875cf073e2421d67ff824cd,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
02e5b03f8ea7ea2787101b758291d162,confirmed_twins_gallery|lower_iou_implied_twin,1.0,2026-08-09
03426e9293f207de46b5592c001eb45c,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
0373ed8a095e0a283da690de360ccc21,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
03849b0243900d79446bb27849dc0bb2,confirmed_twins_gallery|lower_iou_implied_twin,1.0,2026-08-09
046bac77a58c1be84a6418904e755280,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
04f28a8f394396872b7a9ede5041a80c,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
059ab4f2222a3231845f048a63036083,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
059cbf902c5e42972587c8d17d49efed,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
05cc3233dcb5489d2333ee62339a3226,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
060121a06476ef401d8a21d6567dee6d,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
060f04c4f2dc67635433dc0c5b878265,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
06977be07ef2afb3ddfa7733f0c04917,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
06bf945aaacb9a67d9f2439d9a7d73ea,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
06fc0c8a36a83d5150fca83d5bbb2612,confirmed_twins_gallery|safe_iou70_twin,1.0,2026-08-09
