image_id,n,split,slide_id
006f6aa35a78965c92fffd1fbd53a058,28,train,006f6aa35a78965c92fffd1fbd53a058
04063850d065e6fa2d7a479d9eb36870,30,train,04063850d065e6fa2d7a479d9eb36870
07a14fa5b8f74272e4cc0a439dbc8f7f,6,train,07a14fa5b8f74272e4cc0a439dbc8f7f
0a107c91216d62b2543122a46eb26541,30,train,0a107c91216d62b2543122a46eb26541
0a4b7a7499ed55c71033cefb0765e93d,21,train,0a4b7a7499ed55c71033cefb0765e93d
0e50d62c5d764fabebe2a05877bbdef6,28,train,0e50d62c5d764fabebe2a05877bbdef6
0e65f90aa2b3fd3e49982839aa381583,17,train,0e65f90aa2b3fd3e49982839aa381583
0efdb66c93d6b474d93dfe41e40be6ca,25,train,0efdb66c93d6b474d93dfe41e40be6ca
141c3b4a9a4a0411e144ddf2f642eb21,16,train,141c3b4a9a4a0411e144ddf2f642eb21
16272df65f00bdc126b5ca32de2b3a6b,30,train,16272df65f00bdc126b5ca32de2b3a6b
1d432fcf31474114a1f5f12268b9a1ab,10,train,1d432fcf31474114a1f5f12268b9a1ab
1e840659f5bfc1b50403eb1f2743c632,30,train,1e840659f5bfc1b50403eb1f2743c632
1fa5537c8bba02102cbd68fe9b4abd27,28,train,1fa5537c8bba02102cbd68fe9b4abd27
20295d0f4917e297c4827296397fbec1,28,train,20295d0f4917e297c4827296397fbec1
21d90fcd566bcc6dc30b056ba7675a32,31,train,21d90fcd566bcc6dc30b056ba7675a32
25d8ff4fcd3f85d69a672b69d29b6339,25,train,25d8ff4fcd3f85d69a672b69d29b6339
281fcc161aa1fe329f1ab8d9ae73636b,23,train,281fcc161aa1fe329f1ab8d9ae73636b
29eed8a71c8bee8fc007b0fe4edcc712,19,train,29eed8a71c8bee8fc007b0fe4edcc712
29fe9e445bbf0c9d84aec6799cbba4a5,30,train,29fe9e445bbf0c9d84aec6799cbba4a5
33431b7e55430ad8b17a6a61f9ce8f88,31,train,33431b7e55430ad8b17a6a61f9ce8f88
39f36065811dabb953b5fa41f826f669,3,train,39f36065811dabb953b5fa41f826f669
3e3d938e4279c4339473f26a7eb5020e,20,train,3e3d938e4279c4339473f26a7eb5020e
3eee912c7daba1d6c5c6968ef71b5570,30,train,3eee912c7daba1d6c5c6968ef71b5570
4502c2c9c9c1041564225b9d8fad13c1,17,train,4502c2c9c9c1041564225b9d8fad13c1
48440a60d18ab8e5a6f09de20a50bb27,14,train,48440a60d18ab8e5a6f09de20a50bb27
49a2ed9b6af2a48a788b9dd6066bdb0a,28,train,49a2ed9b6af2a48a788b9dd6066bdb0a
4b0ef01c012aa7824c2f92984edb8210,27,train,4b0ef01c012aa7824c2f92984edb8210
4c7318b58b1d1485e7c4b02e2f983e4f,25,train,4c7318b58b1d1485e7c4b02e2f983e4f
4c9cb3b8e0f18845b3911cdc31d6fa94,14,train,4c9cb3b8e0f18845b3911cdc31d6fa94
4dc731d30fb8010b313c357fa56459e3,27,train,4dc731d30fb8010b313c357fa56459e3
4f504a9f8f34f1c73dd28eff81be423d,20,train,4f504a9f8f34f1c73dd28eff81be423d
4f8c97e95011e0949b32fb9f3118177a,26,train,4f8c97e95011e0949b32fb9f3118177a
508c23fef3f24c9301f5b02aec0ffb10,29,train,508c23fef3f24c9301f5b02aec0ffb10
54126c6e72a07999bc079390f3af679b,26,train,54126c6e72a07999bc079390f3af679b
548a1b47c6c3d002e1fab2d2959404db,29,train,548a1b47c6c3d002e1fab2d2959404db
549f87924e4800a7112f6edd5c250ebe,14,train,549f87924e4800a7112f6edd5c250ebe
573cdbd8eda0e7ccf8a1df177f1764cc,23,train,573cdbd8eda0e7ccf8a1df177f1764cc
5d00686aeee37bfef71ad623ab4abaa5,27,train,5d00686aeee37bfef71ad623ab4abaa5
5f1ccf6d3f6fc9977f54755c8d96784a,25,train,5f1ccf6d3f6fc9977f54755c8d96784a
60a18d14b13eb21b56f3d3e77a315af7,12,train,60a18d14b13eb21b56f3d3e77a315af7
623055537fd299a566acf58214ae2133,22,train,623055537fd299a566acf58214ae2133
62a976bdc21bd2c8a34de5ec3d192857,16,train,62a976bdc21bd2c8a34de5ec3d192857
6303244b26eef8e081298bfeac827403,29,train,6303244b26eef8e081298bfeac827403
687d89772580c411d434b346e1e6c505,27,train,687d89772580c411d434b346e1e6c505
68d28aa1831633cd996a227062f03bee,26,train,68d28aa1831633cd996a227062f03bee
6a43f7e8b37e4f8a63ba3f178ef78016,20,train,6a43f7e8b37e4f8a63ba3f178ef78016
6cbc6f7259cb45a4086cd584aec53857,20,train,6cbc6f7259cb45a4086cd584aec53857
6e229bc5d46c2bb07cb0ab6b64c30a48,24,train,6e229bc5d46c2bb07cb0ab6b64c30a48
702a3a5fd638c2f5ca38ed562122b407,19,train,702a3a5fd638c2f5ca38ed562122b407
77545268b9c0cec2fd73b7cb9e03d66b,11,train,77545268b9c0cec2fd73b7cb9e03d66b
7c90a7a9ea4b644c26fa03ffd564676c,10,train,7c90a7a9ea4b644c26fa03ffd564676c
7d581d0082d6ee0a32165b0f8fe216d8,17,train,7d581d0082d6ee0a32165b0f8fe216d8
7d5dbfb91ce9be33221e4ba9358326fd,19,train,7d5dbfb91ce9be33221e4ba9358326fd
7e424dff3f544c36ace6d9219aea34ef,24,train,7e424dff3f544c36ace6d9219aea34ef
824dfb4e8eb256cde52493d8667bfe10,24,train,824dfb4e8eb256cde52493d8667bfe10
8271c1f76156a5ba7e5f4f84155dffff,18,train,8271c1f76156a5ba7e5f4f84155dffff
85b31dab1e9985ed09bc99e6797348e0,30,train,85b31dab1e9985ed09bc99e6797348e0
86f0a558cecdc39f6ace44364795f747,27,train,86f0a558cecdc39f6ace44364795f747
88e65e1d716893e6efdbd2464b3686fa,11,train,88e65e1d716893e6efdbd2464b3686fa
8d5860e10e09ee25e066ee7fb699453d,10,train,8d5860e10e09ee25e066ee7fb699453d
9275833e274c8ae8d514349c8c05fe2c,31,train,9275833e274c8ae8d514349c8c05fe2c
94e121bc4a7091b881e8dd9b6c2be6b5,19,train,94e121bc4a7091b881e8dd9b6c2be6b5
963cdce0573b4883f8c416d9808d6e84,12,train,963cdce0573b4883f8c416d9808d6e84
977d38c17c1f872ed1c550c52e984986,16,train,977d38c17c1f872ed1c550c52e984986
986d2e993e13ef22c77e011feead1079,27,train,986d2e993e13ef22c77e011feead1079
99df939d41052c33bbd4af1bb923846d,19,train,99df939d41052c33bbd4af1bb923846d
9a4ba048c62623465d6a7a0d8549a657,9,train,9a4ba048c62623465d6a7a0d8549a657
9c5229cbfdd9234f73a514b0a2f0ad4b,28,train,9c5229cbfdd9234f73a514b0a2f0ad4b
9e03b5aae46d92a1442fd7e439b0c6bd,22,train,9e03b5aae46d92a1442fd7e439b0c6bd
9e40b83c6ac2b92e2426b717ed1a200e,10,train,9e40b83c6ac2b92e2426b717ed1a200e
9ffb9e9e7be39a7af216779a06a6302b,26,train,9ffb9e9e7be39a7af216779a06a6302b
a21c88c3d7c1a95eec2fdc7300fdfee0,19,train,a21c88c3d7c1a95eec2fdc7300fdfee0
a28d07249631a811d3c801881c7fee47,31,train,a28d07249631a811d3c801881c7fee47
a420d76844dd359a2d3a268be4827768,17,train,a420d76844dd359a2d3a268be4827768
aa3c01d5326e3ed117d9266d5ed6ef37,19,train,aa3c01d5326e3ed117d9266d5ed6ef37
ab7f757a2343686945a621a662b6f667,22,train,ab7f757a2343686945a621a662b6f667
ae8098ce32f49e4b96dda2dd5e02db2c,23,train,ae8098ce32f49e4b96dda2dd5e02db2c
aff9deb3016a3ba5db5a5edb22ecc982,27,train,aff9deb3016a3ba5db5a5edb22ecc982
b1d93623521ae08ba520855009692683,15,train,b1d93623521ae08ba520855009692683
b4cf33ec7b1e290ddd47e83a454ada12,23,train,b4cf33ec7b1e290ddd47e83a454ada12
b770d7a72514c3f30684c4e632580b6e,30,train,b770d7a72514c3f30684c4e632580b6e
b99ca5db00eca6566d106abce9cba70c,5,train,b99ca5db00eca6566d106abce9cba70c
bc4305fd88503b73edcecdffeef190fa,21,train,bc4305fd88503b73edcecdffeef190fa
bd31a494912d04160fec50b16a4d330f,22,train,bd31a494912d04160fec50b16a4d330f
bd6c97b7f40595c43cc6a609f03a442b,26,train,bd6c97b7f40595c43cc6a609f03a442b
bdae289bd86165f1bcce2bd2afeb136e,20,train,bdae289bd86165f1bcce2bd2afeb136e
bf779325c9c16f04957839ba92518ab8,11,train,bf779325c9c16f04957839ba92518ab8
bf990806f56c05b04af0ce599a4541bb,26,train,bf990806f56c05b04af0ce599a4541bb
bfc6ccb20af434cfb505aafc00dce754,21,train,bfc6ccb20af434cfb505aafc00dce754
c19623cc0d82d0d5f219400b027d8190,31,train,c19623cc0d82d0d5f219400b027d8190
c266773fdf88a75561821afdb49cc0e0,26,train,c266773fdf88a75561821afdb49cc0e0
c2f90bbc5200609817a0745279582e72,27,train,c2f90bbc5200609817a0745279582e72
c3dab3559def60da07e5e8417427f28a,26,train,c3dab3559def60da07e5e8417427f28a
c44a5ab52208c849f13befab056c7559,24,train,c44a5ab52208c849f13befab056c7559
c4cde1827d4895957ca8507e37a3cf76,24,train,c4cde1827d4895957ca8507e37a3cf76
c60d25e72004ddd6bc308d3a42ce6dba,26,train,c60d25e72004ddd6bc308d3a42ce6dba
c614dc18ffa37f8007c2aead39e65342,31,train,c614dc18ffa37f8007c2aead39e65342
c8f84d9ecff20af2842de863f6963dfa,17,train,c8f84d9ecff20af2842de863f6963dfa
ca7e20935c1f277b2ac228ab363b371a,14,train,ca7e20935c1f277b2ac228ab363b371a
cb91772271b72c237c42f64fb6d2e84e,10,train,cb91772271b72c237c42f64fb6d2e84e
cbaaf646e582b153aa87262de00bd4a0,27,train,cbaaf646e582b153aa87262de00bd4a0
cdb4764932947b3b48d87c8322015b17,29,train,cdb4764932947b3b48d87c8322015b17
cf1c7e7e632db44c5ca6de473da247e6,31,train,cf1c7e7e632db44c5ca6de473da247e6
d396752533648e870437e895a2a1d175,26,train,d396752533648e870437e895a2a1d175
d676924aa4d2c3259e47e91955fe161f,27,train,d676924aa4d2c3259e47e91955fe161f
d996d408cbc9200c7254ab6955e31959,25,train,d996d408cbc9200c7254ab6955e31959
da2502ee900c4fd5653d4433d05c8cde,29,train,da2502ee900c4fd5653d4433d05c8cde
dc10032bf598b0a3268074de4bb2d7b6,25,train,dc10032bf598b0a3268074de4bb2d7b6
dd11c9143fb6c56396e0693465d2430e,10,train,dd11c9143fb6c56396e0693465d2430e
dec45a32f96c496a9141d49617286870,23,train,dec45a32f96c496a9141d49617286870
df29712be2badfd7ae0ef37d30759042,26,train,df29712be2badfd7ae0ef37d30759042
dfb8f57174971abbab14ad065b36769b,31,train,dfb8f57174971abbab14ad065b36769b
e03c543c7d61b179d0cb66f8c94f80cf,29,train,e03c543c7d61b179d0cb66f8c94f80cf
e10d5f4e9dd5c9adb81bbe1a744866ec,17,train,e10d5f4e9dd5c9adb81bbe1a744866ec
e439c55932821e4011f5c88291a80928,21,train,e439c55932821e4011f5c88291a80928
e4c61dd08684fe6ca116c8610967f247,31,train,e4c61dd08684fe6ca116c8610967f247
e6ba38a0847082104bfcbd7ec1bf6f49,22,train,e6ba38a0847082104bfcbd7ec1bf6f49
e707ef8caf1f91a4aaee8231cfdcb353,27,train,e707ef8caf1f91a4aaee8231cfdcb353
e8ab164f380bb0c78f7566623bf5c8b7,24,train,e8ab164f380bb0c78f7566623bf5c8b7
ea954ce0f1563b69d79bd1c2b7129618,14,train,ea954ce0f1563b69d79bd1c2b7129618
f43994e34472b340e138b082c25d01e7,17,train,f43994e34472b340e138b082c25d01e7
f73a4bb68c9e268f95ca9d8ce340cce9,19,train,f73a4bb68c9e268f95ca9d8ce340cce9
fbec0ff75cf34743b0143538e59c4641,31,train,fbec0ff75cf34743b0143538e59c4641
0f1ea91c9f917bb3d198f02fd432e4ce,7,val,0f1ea91c9f917bb3d198f02fd432e4ce
166631bd73e53e8ebb1ab844dcd6d3dd,31,val,166631bd73e53e8ebb1ab844dcd6d3dd
234fc34638b5b9a3a3ba25e514fd47f5,23,val,234fc34638b5b9a3a3ba25e514fd47f5
23c7e23b418a44db2d86d9cde9b7ba3f,22,val,23c7e23b418a44db2d86d9cde9b7ba3f
28f4e2984fc653938374f54b1af98fa1,30,val,28f4e2984fc653938374f54b1af98fa1
304ae907fcbca6426b7a2015eeffd501,24,val,304ae907fcbca6426b7a2015eeffd501
333bc859088cb64ca1d20af155b8bf57,30,val,333bc859088cb64ca1d20af155b8bf57
36b09d17def11b696c090d9faff277d6,24,val,36b09d17def11b696c090d9faff277d6
389a3fcfddfbd92bdcb69da5b10d383c,17,val,389a3fcfddfbd92bdcb69da5b10d383c
3e16a4a0816d8380163af60dfc884195,18,val,3e16a4a0816d8380163af60dfc884195
5bd1ec348f050f3e5642a23207012a23,18,val,5bd1ec348f050f3e5642a23207012a23
5cc8a6260ae47db4e4e69717ab8c405e,29,val,5cc8a6260ae47db4e4e69717ab8c405e
72e64850d127c65815492af84473a26e,14,val,72e64850d127c65815492af84473a26e
77a014f1f7f9ca5f6f0b32f204d4ab59,13,val,77a014f1f7f9ca5f6f0b32f204d4ab59
7af6609d5476131b9810df1ec0b4a037,25,val,7af6609d5476131b9810df1ec0b4a037
7c03cedfde9bdd397d67c010fe7e61e2,9,val,7c03cedfde9bdd397d67c010fe7e61e2
87ebd3322722faa0adfc6a3efb9e9bbb,26,val,87ebd3322722faa0adfc6a3efb9e9bbb
8b1498de9e4860dfa6318d2426c9ffa8,22,val,8b1498de9e4860dfa6318d2426c9ffa8
9daae3ddf1e47ccd9d2013917e47f497,22,val,9daae3ddf1e47ccd9d2013917e47f497
9f17dc61c028d8f3b160c2ccbfbf884c,29,val,9f17dc61c028d8f3b160c2ccbfbf884c
a65bd71b4d413c0d11b8e39e792c11ea,16,val,a65bd71b4d413c0d11b8e39e792c11ea
acc092b7ff833d1d9853a2efe449e66e,19,val,acc092b7ff833d1d9853a2efe449e66e
b28f0f94ebc50f79d1b03cf0c0baa335,13,val,b28f0f94ebc50f79d1b03cf0c0baa335
bd2272491323c5b546c210316e6209b5,20,val,bd2272491323c5b546c210316e6209b5
cafac2ca8ceb7ff02a90fc2a2094def5,18,val,cafac2ca8ceb7ff02a90fc2a2094def5
d7b7b3e3d85c768d7a453e50679f2a80,19,val,d7b7b3e3d85c768d7a453e50679f2a80
e2876d9ebfde8e9b19701ac52b33dcd4,23,val,e2876d9ebfde8e9b19701ac52b33dcd4
fac5bbaea8710fc47397548c8271757d,28,val,fac5bbaea8710fc47397548c8271757d
29d140073e1fe204faacd8b1ff2086d8,11,test,29d140073e1fe204faacd8b1ff2086d8
2ea5a65f8c7316df537b5f8caf4146d3,30,test,2ea5a65f8c7316df537b5f8caf4146d3
3517a8727c26bcdb6846648c9867692a,26,test,3517a8727c26bcdb6846648c9867692a
5204134e82ce75b1109cc1913d81abc6,11,test,5204134e82ce75b1109cc1913d81abc6
53d6abac96a4473077a3d3f20018c016,30,test,53d6abac96a4473077a3d3f20018c016
55b803fc495e1b30553a8b5b589eab7a,30,test,55b803fc495e1b30553a8b5b589eab7a
