cluster_id,n_members,keep_id,drop_ids,keep_n_patches,splits,cross_split,isup,gleason,image_ids
1,46,d6587192c22af1403afb3c5283819cae,00c15b23b30a5ba061358d9641118904;00c52cb4db1c7a5811a8f070a910c038;0373ed8a095e0a283da690de360ccc21;18e8d0f069454b4492f5502f15883589;1e1f00a9410f29e4d4c9920530d883c0;26149968f810b690fca81375c1d74373;36c8f9a16788be091884e5cd1688767f;3f3ea480b6f8748d6e826f1c1d6474e3;418e1cef9d164228667371028ca7071c;447ceabf87de7431032ef708132594d5;49b4a94bd361663636f85ad747ad0da3;53a053373822079628726191fc5b76d6;577a95c3a3a0fb362b7282fdf9311015;5d438b93171c54575c3248d799952a8c;6166cc11159083920af9b3c14670f8b4;63a41234a703cd382686631e0dde6986;651871fee7a4c9e53028c99294709f41;6b8cf7e2a5e9329b19070013a442cc89;6e79fc78cf67358d3d16daec5573b5a3;6fd2d42591da02ae878e2d5c74bcc98f;71f3ff8361e8d200a0b497ec2cdc2097;775abecd4e7149acd83c9c3c55e2834c;778bd33e4eb7fbc28402051743b78aa2;839955471941b6d2dffa2c4768fc3166;8826e4b9c231e9b9a69a5f2e8efc815a;9676a10811c1fb71f39ce325e330cd06;9c2eafb5480094f718bc40213531b7d5;a9de2f159602a6c08dde0551062fb74b;b0db6c7062db390ce41581728f2ef122;b376949adfafff2fd24c30c4cd27dd58;b3852036b9bab5f90891f5f18617b559;b7376a7ff7ba49a02361e8a6db3ec5b0;b7932b71e15722e1908ad98af13d50fb;c0dbbf2b29da2ef0cab6bc7032e7ac92;c1fd67db197ac1e491453082982de933;c445380a860360322df76605978e1618;cfdcf7c4d670c85e658b4286c7807bed;d2e99d97cea5ba41f7d2e30a221adee4;d5a8225a2a912684b38167cc6da67bdd;db6bda8b9e54352f83df9308c7b200ad;ddb64fec2f66e001804e629c20867e59;ebd3d4bfc5d1e9ce090e342869cbdefe;ec009ae101199666b6840588867fc1d6;fb01a0a69517bb47d7f4699b6217f69d;ff9dd750be215c8ba38b5195de612253,228,test;train;val,True,5,4+5,00c15b23b30a5ba061358d9641118904;00c52cb4db1c7a5811a8f070a910c038;0373ed8a095e0a283da690de360ccc21;18e8d0f069454b4492f5502f15883589;1e1f00a9410f29e4d4c9920530d883c0;26149968f810b690fca81375c1d74373;36c8f9a16788be091884e5cd1688767f;3f3ea480b6f8748d6e826f1c1d6474e3;418e1cef9d164228667371028ca7071c;447ceabf87de7431032ef708132594d5;49b4a94bd361663636f85ad747ad0da3;53a053373822079628726191fc5b76d6;577a95c3a3a0fb362b7282fdf9311015;5d438b93171c54575c3248d799952a8c;6166cc11159083920af9b3c14670f8b4;63a41234a703cd382686631e0dde6986;651871fee7a4c9e53028c99294709f41;6b8cf7e2a5e9329b19070013a442cc89;6e79fc78cf67358d3d16daec5573b5a3;6fd2d42591da02ae878e2d5c74bcc98f;71f3ff8361e8d200a0b497ec2cdc2097;775abecd4e7149acd83c9c3c55e2834c;778bd33e4eb7fbc28402051743b78aa2;839955471941b6d2dffa2c4768fc3166;8826e4b9c231e9b9a69a5f2e8efc815a;9676a10811c1fb71f39ce325e330cd06;9c2eafb5480094f718bc40213531b7d5;a9de2f159602a6c08dde0551062fb74b;b0db6c7062db390ce41581728f2ef122;b376949adfafff2fd24c30c4cd27dd58;b3852036b9bab5f90891f5f18617b559;b7376a7ff7ba49a02361e8a6db3ec5b0;b7932b71e15722e1908ad98af13d50fb;c0dbbf2b29da2ef0cab6bc7032e7ac92;c1fd67db197ac1e491453082982de933;c445380a860360322df76605978e1618;cfdcf7c4d670c85e658b4286c7807bed;d2e99d97cea5ba41f7d2e30a221adee4;d5a8225a2a912684b38167cc6da67bdd;d6587192c22af1403afb3c5283819cae;db6bda8b9e54352f83df9308c7b200ad;ddb64fec2f66e001804e629c20867e59;ebd3d4bfc5d1e9ce090e342869cbdefe;ec009ae101199666b6840588867fc1d6;fb01a0a69517bb47d7f4699b6217f69d;ff9dd750be215c8ba38b5195de612253
2,33,1cf5843c2a55f70a2e93c6107424b545,0838c82917cd9af681df249264d2769c;0cb39c742b3ee31e25527b3d31991f09;21e4e2533162dc9eea4b2508b0d3df46;2626d578899ee91a14a09bab13ae8b07;287288c13cab7312a9ced8268cad03ef;432abc4bb7e9413b738f13e982b11868;4444987df780434b2dba8306b086fd64;4f39a9611ee346e4b00b151cda92bbeb;500d4f7a12600df45965673dd4642d4f;5121187bc98e8e74d926c47644cdcf7b;5b503f5a5b80bbdd98128d346e9a72b7;668c4850b2f821babc8ff8c7e877b9b2;684007dfab2690881f18447158417ead;6f23c9de94899d380bd7a075209ef415;77a8d4500bd331027b965e1b1e581ab1;80b57cbfbaa4a0565a5e4839c24223b6;963c4b548a8dea988860f21015eae898;a0714e2fe169ac0e6bfcacc028a4f391;a4759f06b88c45d2153555b988ac52a8;a4ff02d4ba4e5f4420fab051ebd975aa;a766e096ab436d7ae7a55eb46a4fcf5e;a778ef2839b7492090564d78367aaddb;a83b0d472cd523b9d4fb96d01dbd547e;b85c0e9e08d5b97d232f295fffe7f5a9;badbaf5d20db12b65b518ca473bfd12e;c74e766851d12e6c5775f1dacbe3843d;c8de1c11089f06013182abb4b5bf754d;d844c98b020831cd13e0dbed2f72e719;e08b3873a528bb51f5e099eddeedee5c;e994de172996c57b3c414dd7192b500c;ee607b2abd1f6a721b4765ead3fe7aeb;fd5604231cba46e8cb162a987e1fb3e4,189,test;train;val,True,1,3+3,0838c82917cd9af681df249264d2769c;0cb39c742b3ee31e25527b3d31991f09;1cf5843c2a55f70a2e93c6107424b545;21e4e2533162dc9eea4b2508b0d3df46;2626d578899ee91a14a09bab13ae8b07;287288c13cab7312a9ced8268cad03ef;432abc4bb7e9413b738f13e982b11868;4444987df780434b2dba8306b086fd64;4f39a9611ee346e4b00b151cda92bbeb;500d4f7a12600df45965673dd4642d4f;5121187bc98e8e74d926c47644cdcf7b;5b503f5a5b80bbdd98128d346e9a72b7;668c4850b2f821babc8ff8c7e877b9b2;684007dfab2690881f18447158417ead;6f23c9de94899d380bd7a075209ef415;77a8d4500bd331027b965e1b1e581ab1;80b57cbfbaa4a0565a5e4839c24223b6;963c4b548a8dea988860f21015eae898;a0714e2fe169ac0e6bfcacc028a4f391;a4759f06b88c45d2153555b988ac52a8;a4ff02d4ba4e5f4420fab051ebd975aa;a766e096ab436d7ae7a55eb46a4fcf5e;a778ef2839b7492090564d78367aaddb;a83b0d472cd523b9d4fb96d01dbd547e;b85c0e9e08d5b97d232f295fffe7f5a9;badbaf5d20db12b65b518ca473bfd12e;c74e766851d12e6c5775f1dacbe3843d;c8de1c11089f06013182abb4b5bf754d;d844c98b020831cd13e0dbed2f72e719;e08b3873a528bb51f5e099eddeedee5c;e994de172996c57b3c414dd7192b500c;ee607b2abd1f6a721b4765ead3fe7aeb;fd5604231cba46e8cb162a987e1fb3e4
3,32,cc75ac1620668231d5cc98975937aad3,0b517956117177d8efec1a7efe60a985;0f83710916fcc2edf1a7a9a103fd48ac;10dc2544e17f8446dda51f9a9b05181c;11acf00f7aba60feb6c6626ceff0cc51;28eaf92d73381366c785c97a675762a4;2efc345029c31b8c52f224ced1029ff8;3d3de59a9cdafdb58eb5ffde8dab8d70;3f1932eefb6de2c9b6666565a6b93765;3fa1e5427fd312f27072d99cb14a63d3;3ffc717414973b70eeebb9fb3d273c5d;430d7fb12afa81a367453073a1dd899f;43276423852d930b27c86103e63d8288;5467682efb785fda8ad40d44e33f1f87;5c083ab21fc57c0954468ab46aa7fb16;61d53ad3869b865564520488312443f2;6d2bcf1b97f6731338a530650f776fb4;774c9b631a29f191836b1078a6c3a67c;9144106abaaa37336cad2f4ef72d3fdc;932af254f55ed4607b6a31c4fc69726f;9403cc77efc7d9414204d12e31dadac1;9793c3c2317f38143d21a5187bb35652;9921310eb85fdef96f5ec4b5bea102c5;a733ebe1241b7fbe187b49b7b5853f7c;b3c9178d328c9a8362be6b7a55614287;bdeb7ab6c22749f3a39e5a88ee4a0fa4;ce5578cd0044db806cbfc334f9013316;d2bd898f6bf18aab557c0d7d4fca4fc8;d2c964910e2e8295fc329dd57918986f;e69f5703fc72f2b99a2cd8eef05a11e8;e8544928657b8fbb4fa8d67682ae4ee7;f836bf8b2f7a52acc668fcd59ec0122f,199,test;train;val,True,2,3+4,0b517956117177d8efec1a7efe60a985;0f83710916fcc2edf1a7a9a103fd48ac;10dc2544e17f8446dda51f9a9b05181c;11acf00f7aba60feb6c6626ceff0cc51;28eaf92d73381366c785c97a675762a4;2efc345029c31b8c52f224ced1029ff8;3d3de59a9cdafdb58eb5ffde8dab8d70;3f1932eefb6de2c9b6666565a6b93765;3fa1e5427fd312f27072d99cb14a63d3;3ffc717414973b70eeebb9fb3d273c5d;430d7fb12afa81a367453073a1dd899f;43276423852d930b27c86103e63d8288;5467682efb785fda8ad40d44e33f1f87;5c083ab21fc57c0954468ab46aa7fb16;61d53ad3869b865564520488312443f2;6d2bcf1b97f6731338a530650f776fb4;774c9b631a29f191836b1078a6c3a67c;9144106abaaa37336cad2f4ef72d3fdc;932af254f55ed4607b6a31c4fc69726f;9403cc77efc7d9414204d12e31dadac1;9793c3c2317f38143d21a5187bb35652;9921310eb85fdef96f5ec4b5bea102c5;a733ebe1241b7fbe187b49b7b5853f7c;b3c9178d328c9a8362be6b7a55614287;bdeb7ab6c22749f3a39e5a88ee4a0fa4;cc75ac1620668231d5cc98975937aad3;ce5578cd0044db806cbfc334f9013316;d2bd898f6bf18aab557c0d7d4fca4fc8;d2c964910e2e8295fc329dd57918986f;e69f5703fc72f2b99a2cd8eef05a11e8;e8544928657b8fbb4fa8d67682ae4ee7;f836bf8b2f7a52acc668fcd59ec0122f
4,29,12942b14ee8cde158e33d537cc3582a9,148121423c7bdd1892bf501a2d5a800b;2a484c7522f0a5e3a41654eb2c452fd8;338e30b609bbf80246203caf63a2f0a0;3f3f6a1f515cd9ae79e323a4759f0888;44f20df33112cfc1ae49f18ee2efc913;48896f2b866e9694586b3377025c4927;5497b569f15cb7ea779cc176d1faebe0;5740b936c0d44c94933f19203ad483ba;5a6125bdeb2906ba9267a26e98de56e5;5ffcf2372542336fe4ee3585bd07b6f2;69f0dfb6f42c910861aa0bbb23a12639;6d2cf90cf2df03cf1d9f2eb38362f58d;75be11818843990c70ba0b6ed753f3c0;8a1520420384d8c11733edd40969effc;8efdb7429bd48a9e77862d5af5351267;9098b613c1e7dc1e50790bbdaafd4828;ae7dd6b6b0749f3b9b3001629b9db512;b01f92809dbfa747dc4d1881f400d99b;b1f6f5539ae4fdb9b931788dda704712;b4375e422395f7dfdaa2619d18929446;d6554a3cff6d6ceb5597382238954aa1;e241df65ca9194cb95c86f93ddd85bf7;e29f49849de6ff182d115fe2aa6cac3a;edb53390a53397b29cb85e21501b8efb;f344628cd3bfd6e1cd80456bca9358ab;fa741c964934cb194701d6630356adb0;fd05529859cf5ee53ab967a009dc7c06;fe6984b9e99ee331bb510c61f9e5ccd4,169,test;train;val,True,3,4+3,12942b14ee8cde158e33d537cc3582a9;148121423c7bdd1892bf501a2d5a800b;2a484c7522f0a5e3a41654eb2c452fd8;338e30b609bbf80246203caf63a2f0a0;3f3f6a1f515cd9ae79e323a4759f0888;44f20df33112cfc1ae49f18ee2efc913;48896f2b866e9694586b3377025c4927;5497b569f15cb7ea779cc176d1faebe0;5740b936c0d44c94933f19203ad483ba;5a6125bdeb2906ba9267a26e98de56e5;5ffcf2372542336fe4ee3585bd07b6f2;69f0dfb6f42c910861aa0bbb23a12639;6d2cf90cf2df03cf1d9f2eb38362f58d;75be11818843990c70ba0b6ed753f3c0;8a1520420384d8c11733edd40969effc;8efdb7429bd48a9e77862d5af5351267;9098b613c1e7dc1e50790bbdaafd4828;ae7dd6b6b0749f3b9b3001629b9db512;b01f92809dbfa747dc4d1881f400d99b;b1f6f5539ae4fdb9b931788dda704712;b4375e422395f7dfdaa2619d18929446;d6554a3cff6d6ceb5597382238954aa1;e241df65ca9194cb95c86f93ddd85bf7;e29f49849de6ff182d115fe2aa6cac3a;edb53390a53397b29cb85e21501b8efb;f344628cd3bfd6e1cd80456bca9358ab;fa741c964934cb194701d6630356adb0;fd05529859cf5ee53ab967a009dc7c06;fe6984b9e99ee331bb510c61f9e5ccd4
5,29,6e52a788e36a88c5267d49e219051d05,09471c7d6b4a7b117f7ab3a52d7828c4;129065b74e139bb331d985027c1da317;1496bd10b5eb474af7b764aed67309ba;1ebc8e2c122b49ce263fdd8d7839b029;26346b4e789c4f7c871f5f0e689b41d5;2c657f6c839abdd8fd4a6dc72dabc6ca;2eb5bcf03e017074aeab169637feb019;33f9166b614aff651d1f0cb240dc98af;473af71fb330ea26e33a3c24eaa14b6f;479c67e60b431a189c31e65be43f3741;495141a4b5d6dc8067a636025981f25e;4d729d269ecb5ccfde006fc7ad498280;4e5c75b501c348de7af7620dab9d783e;531a7f47d8e6e7733e86000e5f793168;5563ecd2b196ed9f44541bb2ce32505a;689100903a58c5d137f281c058b85856;7982c501352a5974743b000378f161b8;80a9fb86cc68aade057a0e680f3e5c0a;83388ee25283c6bdc0cd5ed50b5fb50d;848811eccf00a2b215360b0a94e581f5;8596a2f7e68a0e11a5653fb2457db08f;94f8884c0106deb59d2b6abfbc53fc74;b1c8b92e790c28010a3f0678db6638fc;b770d7a72514c3f30684c4e632580b6e;d76180b527e1b7748a99fc37a005d45b;d8f6b2a76413e5b03d0ee89d2792e610;ddd0edc9c6eb676649934adbb8ab0f8b;ff80dfefc41b8863b476c5840f88fec0,233,test;train;val,True,5,5+4,09471c7d6b4a7b117f7ab3a52d7828c4;129065b74e139bb331d985027c1da317;1496bd10b5eb474af7b764aed67309ba;1ebc8e2c122b49ce263fdd8d7839b029;26346b4e789c4f7c871f5f0e689b41d5;2c657f6c839abdd8fd4a6dc72dabc6ca;2eb5bcf03e017074aeab169637feb019;33f9166b614aff651d1f0cb240dc98af;473af71fb330ea26e33a3c24eaa14b6f;479c67e60b431a189c31e65be43f3741;495141a4b5d6dc8067a636025981f25e;4d729d269ecb5ccfde006fc7ad498280;4e5c75b501c348de7af7620dab9d783e;531a7f47d8e6e7733e86000e5f793168;5563ecd2b196ed9f44541bb2ce32505a;689100903a58c5d137f281c058b85856;6e52a788e36a88c5267d49e219051d05;7982c501352a5974743b000378f161b8;80a9fb86cc68aade057a0e680f3e5c0a;83388ee25283c6bdc0cd5ed50b5fb50d;848811eccf00a2b215360b0a94e581f5;8596a2f7e68a0e11a5653fb2457db08f;94f8884c0106deb59d2b6abfbc53fc74;b1c8b92e790c28010a3f0678db6638fc;b770d7a72514c3f30684c4e632580b6e;d76180b527e1b7748a99fc37a005d45b;d8f6b2a76413e5b03d0ee89d2792e610;ddd0edc9c6eb676649934adbb8ab0f8b;ff80dfefc41b8863b476c5840f88fec0
6,29,f52d96b6efd32aa558588dd2e8fe1dfd,0841bb278823ec53920d723881c7afd9;1df32b02eaa3cfad5d8c51a3e289cfc1;27f3dbbf2b9a5e59f508dc6b0c23d5cb;2c0e4995c6e82389dc1964ab5ac6a407;3c3b1cae5538b0e4dcdfd6bdb492fd9a;49764620319a820dfd2e6738861b1aa0;5a94f8031f8dfc6f222e1f4c2df0fade;691a9e62ce9f6633c08462c398f7e140;738e10c912a9f554aa16122f48181c50;81adb00db7e7b3034900a1f95a4dc257;81cdd8883ff6f9a18e75f2085db633be;87a1d44e21700bd0eb3db27371eb3999;92ed1808381455735456c3cbfb547ea6;9e0fa510b3e5a89ab765dfa48957a4cc;a28b628b33608b2cdadff12fc6aa2537;ae1c6bd846449adbde74b0cba5cb7a19;b2de71e7e1619aa395f55e9859849f2f;b673c0657c283f76f9020350bba98614;cbe58732cb94078090d6a35b712e19d8;cf19c18868fc35dfd2628358ca4b73f1;d72dce85f1954fe33809659f9cd14217;dd97a5aebd7c8ed6fb24da05ad92da74;e3a86173361dbf0574a3781d540b5259;e47409feff05e7815c2908a2af47746b;e75ffb74501b1bdd328b0640fe71665b;f61ec97dd1808dd49436c25aac6e0c4c;fe025faa4c6e6de2a71f964b56de7c9c;feee2e895355a921f2b75b54debad328,189,test;train;val,True,1,3+3,0841bb278823ec53920d723881c7afd9;1df32b02eaa3cfad5d8c51a3e289cfc1;27f3dbbf2b9a5e59f508dc6b0c23d5cb;2c0e4995c6e82389dc1964ab5ac6a407;3c3b1cae5538b0e4dcdfd6bdb492fd9a;49764620319a820dfd2e6738861b1aa0;5a94f8031f8dfc6f222e1f4c2df0fade;691a9e62ce9f6633c08462c398f7e140;738e10c912a9f554aa16122f48181c50;81adb00db7e7b3034900a1f95a4dc257;81cdd8883ff6f9a18e75f2085db633be;87a1d44e21700bd0eb3db27371eb3999;92ed1808381455735456c3cbfb547ea6;9e0fa510b3e5a89ab765dfa48957a4cc;a28b628b33608b2cdadff12fc6aa2537;ae1c6bd846449adbde74b0cba5cb7a19;b2de71e7e1619aa395f55e9859849f2f;b673c0657c283f76f9020350bba98614;cbe58732cb94078090d6a35b712e19d8;cf19c18868fc35dfd2628358ca4b73f1;d72dce85f1954fe33809659f9cd14217;dd97a5aebd7c8ed6fb24da05ad92da74;e3a86173361dbf0574a3781d540b5259;e47409feff05e7815c2908a2af47746b;e75ffb74501b1bdd328b0640fe71665b;f52d96b6efd32aa558588dd2e8fe1dfd;f61ec97dd1808dd49436c25aac6e0c4c;fe025faa4c6e6de2a71f964b56de7c9c;feee2e895355a921f2b75b54debad328
7,23,ff228af5af1389e09e293692ea479d98,20a39638af25bbc0fd5ee384b9af48a0;214c897059e8c37741b74163b21ef4c9;2fb49b4bb80d5c1f3b5b2fc44fa8a763;30b055a2178ca6019b4d891dfe253e6f;389853c7149f7007e467b20351b1f552;4639b28cdc127ee5809e2223d50035ed;51b9b885a29947706f22bc545238cb84;5911dece5388c4291ffe22e700bed829;612aa3391b33578ba22ef3d3f3ef9d90;7baf8e46e8720b8b2d379d2ed3b776b2;7d1d9ad923a9f67ffbb27c9d3c62ab06;7f15c706a91ae8c7ccbfaae1897aa024;86d4621be3deca4f8d461e3abce7d585;8b0f143a34251629cd7c0d34743d3e63;98052e108edf90a5e0d327745ca0a2a0;9b1f3966737b74ae375dd220e56806d1;a295321349862720b6541d443b46ee33;aae4be2e608ea6085e8f8b0f6f363d85;ab0c6950b69d38008bea90173b44aefa;ab953747c19632d5ff3078b84449596e;c6d87f56f56c456d38f3b6967eb21eab;f462949a2cc511afbc4e842a44cbe83e,202,test;train;val,True,4,4+4,20a39638af25bbc0fd5ee384b9af48a0;214c897059e8c37741b74163b21ef4c9;2fb49b4bb80d5c1f3b5b2fc44fa8a763;30b055a2178ca6019b4d891dfe253e6f;389853c7149f7007e467b20351b1f552;4639b28cdc127ee5809e2223d50035ed;51b9b885a29947706f22bc545238cb84;5911dece5388c4291ffe22e700bed829;612aa3391b33578ba22ef3d3f3ef9d90;7baf8e46e8720b8b2d379d2ed3b776b2;7d1d9ad923a9f67ffbb27c9d3c62ab06;7f15c706a91ae8c7ccbfaae1897aa024;86d4621be3deca4f8d461e3abce7d585;8b0f143a34251629cd7c0d34743d3e63;98052e108edf90a5e0d327745ca0a2a0;9b1f3966737b74ae375dd220e56806d1;a295321349862720b6541d443b46ee33;aae4be2e608ea6085e8f8b0f6f363d85;ab0c6950b69d38008bea90173b44aefa;ab953747c19632d5ff3078b84449596e;c6d87f56f56c456d38f3b6967eb21eab;f462949a2cc511afbc4e842a44cbe83e;ff228af5af1389e09e293692ea479d98
8,22,93c3721f35d6693ac28d99f530b78233,0325d6b779870b7bd216f3a81f6ab3d7;09271f0045c19ac6179771054455b2ce;21d90fcd566bcc6dc30b056ba7675a32;30dfff7ddc76129a2a53329c4e52511a;4d4b6d9c4e2ff4aef7674ac4ae960893;66fab9d13c7a0f1e81b77887bb8a535a;6e320ef7485ec6c55962007956985821;700e60e9a130333e62698a1c4ef46fa0;a45b686526ef8327fbd9e8b770984567;a87bddaf67f7f888914f5f9590560c47;b4bd3a393ca7c948b7e4d9b42c697fd3;b643e2b264348f36e8dfff03d78d193f;b7540ad7f233e9c19a6cb083945072fd;c6441fa162ce23651c241f1014f96681;d691b50f9a08b2e6b9731add26f4e8a2;e561cdb33e597cb88ab37af8d677eeac;e7ae2d3b70141b5cd11808dcd1f84148;eef409493827bfb3b3d0e74e156923d4;f58d3c50b2dce653f173900c37651dd7;fc547d2e786c1d19163f39dc576c0231;fe592036b5e1fe67c781f61e6afc2e61,166,train,False,0,negative,0325d6b779870b7bd216f3a81f6ab3d7;09271f0045c19ac6179771054455b2ce;21d90fcd566bcc6dc30b056ba7675a32;30dfff7ddc76129a2a53329c4e52511a;4d4b6d9c4e2ff4aef7674ac4ae960893;66fab9d13c7a0f1e81b77887bb8a535a;6e320ef7485ec6c55962007956985821;700e60e9a130333e62698a1c4ef46fa0;93c3721f35d6693ac28d99f530b78233;a45b686526ef8327fbd9e8b770984567;a87bddaf67f7f888914f5f9590560c47;b4bd3a393ca7c948b7e4d9b42c697fd3;b643e2b264348f36e8dfff03d78d193f;b7540ad7f233e9c19a6cb083945072fd;c6441fa162ce23651c241f1014f96681;d691b50f9a08b2e6b9731add26f4e8a2;e561cdb33e597cb88ab37af8d677eeac;e7ae2d3b70141b5cd11808dcd1f84148;eef409493827bfb3b3d0e74e156923d4;f58d3c50b2dce653f173900c37651dd7;fc547d2e786c1d19163f39dc576c0231;fe592036b5e1fe67c781f61e6afc2e61
9,21,4318a5e5772810d926a7c82899c772d2,1329fffac9982cca468efe133cfacf50;14b6e5e738edba8fb2a18cb95dc9af6a;36b55596d75cb210bce9db1166353568;3acfefa2f174d9f3f555cae12f5394ee;436b91d1faa3d2c896f31e1b91b868a3;47791bc4ed9a7eb5329f4af7c4bbb84d;4d9f14a6dab9f3df7a12bf708cb4aedc;5cfcd6a8451b2ed8355ac4800c80f7c7;623155cecfa8cc671054be004d6cb2cf;64f90b30989176a0f3534d184d69e964;78bd2af7d449cc2185aaf861f61531aa;798bad8db4b90b6a0c012465a8fbc344;7cbab4cb4f2b654dab01864409304a36;867e8aabc9463fb736371750b3082132;a28d07249631a811d3c801881c7fee47;adef73f1a19ad047a97ba507c3312798;b0b0bb292409f1613351c5a4c2f6a25a;d84c7a217e2277033342f89adf0ce7b6;f964b9543ed1fcd3fcda049d744a50bd;ffcbb41626c9267c5c20c4804bd5639a,205,test;train;val,True,4,3+5,1329fffac9982cca468efe133cfacf50;14b6e5e738edba8fb2a18cb95dc9af6a;36b55596d75cb210bce9db1166353568;3acfefa2f174d9f3f555cae12f5394ee;4318a5e5772810d926a7c82899c772d2;436b91d1faa3d2c896f31e1b91b868a3;47791bc4ed9a7eb5329f4af7c4bbb84d;4d9f14a6dab9f3df7a12bf708cb4aedc;5cfcd6a8451b2ed8355ac4800c80f7c7;623155cecfa8cc671054be004d6cb2cf;64f90b30989176a0f3534d184d69e964;78bd2af7d449cc2185aaf861f61531aa;798bad8db4b90b6a0c012465a8fbc344;7cbab4cb4f2b654dab01864409304a36;867e8aabc9463fb736371750b3082132;a28d07249631a811d3c801881c7fee47;adef73f1a19ad047a97ba507c3312798;b0b0bb292409f1613351c5a4c2f6a25a;d84c7a217e2277033342f89adf0ce7b6;f964b9543ed1fcd3fcda049d744a50bd;ffcbb41626c9267c5c20c4804bd5639a
10,21,51c3d460a2f37b0c8948478f702bddb4,0feceea983889baf5672d8caa4e22781;13a2f4b3f904a0893997c4fc8f2ec7d5;320a5a8ed48d1d03103a79659913c987;3516c82481d652069ea4d5ab5e082041;382ddc25ec205c031a76956d6060bd2b;45b99a45cfdae3158c6de1062c90055d;46139ecde6bc5abd09e0dc4116c85fb3;4a617782fe5e92440236591606d83bef;4c7ab20052bb5e2a11e998f4b8936898;7ec551736c90480bb8a6fafa54f3bf97;858f5e5afdc19cfe16e0f8be97a28cd5;89312c1f707db54b1efe684669e62fe9;9359e8987975c5e0d24dcb18e41270dd;9702e77a42c305656f1c099eafe7d7f9;ad1592d1b4b1f734e59a92f5ebef305b;b03acf15d51eac8437639fc77ea84b9f;c8facc7f23303f74bb3ae3101a878bdf;ce6affc23b0d11aebf574b6d14e26b79;dd9df5c972f38a062d8861f5b4513959;ee690e4e9eb2bc1b23acaa64ecfedb3e,211,test;train;val,True,4,4+4,0feceea983889baf5672d8caa4e22781;13a2f4b3f904a0893997c4fc8f2ec7d5;320a5a8ed48d1d03103a79659913c987;3516c82481d652069ea4d5ab5e082041;382ddc25ec205c031a76956d6060bd2b;45b99a45cfdae3158c6de1062c90055d;46139ecde6bc5abd09e0dc4116c85fb3;4a617782fe5e92440236591606d83bef;4c7ab20052bb5e2a11e998f4b8936898;51c3d460a2f37b0c8948478f702bddb4;7ec551736c90480bb8a6fafa54f3bf97;858f5e5afdc19cfe16e0f8be97a28cd5;89312c1f707db54b1efe684669e62fe9;9359e8987975c5e0d24dcb18e41270dd;9702e77a42c305656f1c099eafe7d7f9;ad1592d1b4b1f734e59a92f5ebef305b;b03acf15d51eac8437639fc77ea84b9f;c8facc7f23303f74bb3ae3101a878bdf;ce6affc23b0d11aebf574b6d14e26b79;dd9df5c972f38a062d8861f5b4513959;ee690e4e9eb2bc1b23acaa64ecfedb3e
