cluster_id,n_members,max_iou,image_ids
1,26,0.8979,12942b14ee8cde158e33d537cc3582a9;2a484c7522f0a5e3a41654eb2c452fd8;338e30b609bbf80246203caf63a2f0a0;3f3f6a1f515cd9ae79e323a4759f0888;44f20df33112cfc1ae49f18ee2efc913;48896f2b866e9694586b3377025c4927;5497b569f15cb7ea779cc176d1faebe0;5740b936c0d44c94933f19203ad483ba;5a6125bdeb2906ba9267a26e98de56e5;5ffcf2372542336fe4ee3585bd07b6f2;69f0dfb6f42c910861aa0bbb23a12639;6d2cf90cf2df03cf1d9f2eb38362f58d;8a1520420384d8c11733edd40969effc;8efdb7429bd48a9e77862d5af5351267;9098b613c1e7dc1e50790bbdaafd4828;ae7dd6b6b0749f3b9b3001629b9db512;b01f92809dbfa747dc4d1881f400d99b;b1f6f5539ae4fdb9b931788dda704712;d6554a3cff6d6ceb5597382238954aa1;e241df65ca9194cb95c86f93ddd85bf7;e29f49849de6ff182d115fe2aa6cac3a;edb53390a53397b29cb85e21501b8efb;f344628cd3bfd6e1cd80456bca9358ab;fa741c964934cb194701d6630356adb0;fd05529859cf5ee53ab967a009dc7c06;fe6984b9e99ee331bb510c61f9e5ccd4
2,19,0.8593,15be10044a3e4b704d0822432416fde4;25a27922edaf3f338e8693ededcbe1c2;478261713d5379009e2f1be1ad3deb63;500b90c3e7eba2e3b25818a8c1834d45;6b53efd54fcafb28657d482fc492fd61;6d567f83ca7130da285fcb26d3537762;757b927de93c8083c392f2248529d29a;82c289e2fb53713789599f77cf368bc6;85476f0cdde5f4f30e47541d5ba44586;a3794ec31a02fbf429486dd464f83d25;b13961504ea859ff34a150bc19fed335;b95035c00e6e99f3b4e3cd210700f6ce;bfc5aa2abac6018b587819bf87cb1f9a;d2e8ff5257ef522c1d7bef30c96d06df;d49075075de98ba225b3306bc8cfca44;da84230d35b22a900b153d5cb969a7a7;eb9d4025d77205c0dda3d5f7431ce1b8;f0aa8148ce45747389ea072aaaae57ae;fd34d5fda33d3e8281837a2a4511f7fd
3,9,0.8165,27f3dbbf2b9a5e59f508dc6b0c23d5cb;49764620319a820dfd2e6738861b1aa0;81cdd8883ff6f9a18e75f2085db633be;87a1d44e21700bd0eb3db27371eb3999;9e0fa510b3e5a89ab765dfa48957a4cc;a28b628b33608b2cdadff12fc6aa2537;e3a86173361dbf0574a3781d540b5259;e47409feff05e7815c2908a2af47746b;fe025faa4c6e6de2a71f964b56de7c9c
4,8,0.8035,11a715facad7b619e3213ce126be1c77;4848dd56a8f4a49a77f8535469b9de1e;784c60e4447c017aaa12f2013352b92b;a1edceba3500660a6c75be946b20242b;a82ab9e22ff10be0575503d3262a1a61;bbbe47a9dda0f30ae9d6457531b84ffa;c9600084eb770e9fd5eecff32421e4d3;f4fb736869313562fdc74a65b7b9eb2a
5,8,0.7789,33ec4577b716c843eb1224b41204aab2;4d13e4678b695a9b5e8793ba8ac8da2e;8a327e4efafb98dee0f93c40e64d761e;8f18d0ffda3fb439d6ad4473d575409d;91af122d94f80bb3d32eaed47bbce034;a48e97856c956d50cc4f522574cd37fb;b4bebe718759817d5cf440821cf435d7;e4229a7cea9d61ea5485091142e2fd3e
6,8,0.7859,1dda4dfc7a97b5f37085727da5852db2;4600b8e6025b7af1836bedf33e2b5c66;4648da3952ca9db5259d110694b9ea8d;5568eb519a51d50f5b2ac52321a6efdd;9d283bf4e70970f0a5931a65dd0d5211;cb0a506d82d41888c1e0b1d54649a53c;cdcf73225944d4e87e64f178371d897b;cfdac1ca5172b91340648a9c1ed43a65
7,8,0.8716,1b1d9451010fce1234639d728e25f3ec;3f7aa0cadbf025a6bb6d728412e6e100;4ff695dbae442434b502b0605fd14675;874023604daab651e40939b852e94291;997973f9f9c08b7eabd1d7fe09050f00;c0910c1a35e06c172ab6403b20a6b9f0;e830b99a9330e3fa4feee8ac6f219083;fa185cbfa3c6bb40a7dd0397b88539d9
8,7,0.839,ae1c6bd846449adbde74b0cba5cb7a19;b2de71e7e1619aa395f55e9859849f2f;b673c0657c283f76f9020350bba98614;cbe58732cb94078090d6a35b712e19d8;cf19c18868fc35dfd2628358ca4b73f1;f52d96b6efd32aa558588dd2e8fe1dfd;f61ec97dd1808dd49436c25aac6e0c4c
9,7,0.9012,0bfcecec15bb9bef0c8e59e2776ee3c7;452eca104841c28098e3ea454f9626c5;81750e90bca04910ea17513321e4a204;99cc5f5b9f1a86c14dc1970defb07799;cb56eeb149fe1d3df30a43e374d7ab94;f48064fda016dbc4391c353afb9e61c0;f6f6fd84d5275c9f2caa8edb15141607
10,6,0.8875,1febe89c017446eadebd0fce9a68b537;4aae2215d4d4ca911f61b2f159c188d5;616abef9b646a96fb3f9fa9171d98e28;644009d197e73a26659353807e116e84;7790f122a65e43cbf84165a610eefcfd;f815e7ebafbbfa2578e3abadc8a5d15b
