cluster_id,n_members,max_iou,n_already_in_lower_gallery,n_user_marked_not_same,n_val_or_test,cross_split,gallery_file
1,26,0.8979,0,0,2,1,galleries/multi_clusters/cluster_001.png
2,19,0.8593,0,0,5,1,galleries/multi_clusters/cluster_002.png
3,9,0.8165,0,0,4,1,galleries/multi_clusters/cluster_003.png
4,8,0.8035,0,0,1,1,galleries/multi_clusters/cluster_004.png
6,8,0.7859,1,0,1,1,galleries/multi_clusters/cluster_006.png
8,7,0.839,0,0,1,1,galleries/multi_clusters/cluster_008.png
9,7,0.9012,0,0,1,1,galleries/multi_clusters/cluster_009.png
11,6,0.9259,0,0,2,1,galleries/multi_clusters/cluster_011.png
12,6,0.8899,0,0,2,1,galleries/multi_clusters/cluster_012.png
15,6,0.8223,0,0,1,1,galleries/multi_clusters/cluster_015.png
16,5,0.8509,0,0,1,1,galleries/multi_clusters/cluster_016.png
17,5,0.892,0,0,1,1,galleries/multi_clusters/cluster_017.png
23,4,0.7014,0,0,2,1,galleries/multi_clusters/cluster_023.png
25,4,0.7557,0,0,2,1,galleries/multi_clusters/cluster_025.png
28,4,0.7464,0,0,1,1,galleries/multi_clusters/cluster_028.png
30,3,0.8613,1,0,1,1,galleries/multi_clusters/cluster_030.png
31,3,0.7293,0,0,1,1,galleries/multi_clusters/cluster_031.png
32,3,0.8975,0,0,1,1,galleries/multi_clusters/cluster_032.png
40,3,0.9665,0,0,1,1,galleries/multi_clusters/cluster_040.png
41,3,0.8551,0,0,1,1,galleries/multi_clusters/cluster_041.png
42,3,0.9076,0,0,1,1,galleries/multi_clusters/cluster_042.png
44,3,0.8099,0,0,1,1,galleries/multi_clusters/cluster_044.png
45,3,0.7908,0,0,1,1,galleries/multi_clusters/cluster_045.png
46,3,0.9322,0,0,1,1,galleries/multi_clusters/cluster_046.png
47,3,0.7583,0,0,1,1,galleries/multi_clusters/cluster_047.png
52,3,0.733,0,0,1,1,galleries/multi_clusters/cluster_052.png
53,3,0.7371,0,0,1,1,galleries/multi_clusters/cluster_053.png
54,3,0.8182,0,0,2,1,galleries/multi_clusters/cluster_054.png
10,6,0.8875,2,1,2,1,galleries/multi_clusters/cluster_010.png
14,6,0.7557,1,1,1,1,galleries/multi_clusters/cluster_014.png
27,4,0.7621,1,1,2,1,galleries/multi_clusters/cluster_027.png
34,3,0.8825,1,1,1,1,galleries/multi_clusters/cluster_034.png
49,3,0.774,1,1,2,1,galleries/multi_clusters/cluster_049.png
51,3,0.83,2,1,1,1,galleries/multi_clusters/cluster_051.png
7,8,0.8716,2,2,1,1,galleries/multi_clusters/cluster_007.png
21,4,0.7191,3,2,1,1,galleries/multi_clusters/cluster_021.png
5,8,0.7789,0,0,0,0,galleries/multi_clusters/cluster_005.png
13,6,0.8921,0,0,0,0,galleries/multi_clusters/cluster_013.png
18,5,0.8913,0,0,0,0,galleries/multi_clusters/cluster_018.png
22,4,0.9313,0,0,0,0,galleries/multi_clusters/cluster_022.png
24,4,0.8832,1,0,0,0,galleries/multi_clusters/cluster_024.png
26,4,0.9131,0,0,0,0,galleries/multi_clusters/cluster_026.png
29,4,0.7467,0,0,0,0,galleries/multi_clusters/cluster_029.png
36,3,0.7734,0,0,0,0,galleries/multi_clusters/cluster_036.png
37,3,0.7277,1,0,0,0,galleries/multi_clusters/cluster_037.png
38,3,0.8928,0,0,0,0,galleries/multi_clusters/cluster_038.png
39,3,0.9432,0,0,0,0,galleries/multi_clusters/cluster_039.png
43,3,0.7326,0,0,0,0,galleries/multi_clusters/cluster_043.png
48,3,0.9128,0,0,0,0,galleries/multi_clusters/cluster_048.png
50,3,0.8819,0,0,0,0,galleries/multi_clusters/cluster_050.png
55,3,0.9231,0,0,0,0,galleries/multi_clusters/cluster_055.png
35,3,0.8485,1,1,0,0,galleries/multi_clusters/cluster_035.png
19,4,0.7214,2,2,0,0,galleries/multi_clusters/cluster_019.png
33,3,0.8497,2,2,0,0,galleries/multi_clusters/cluster_033.png
20,4,0.8666,3,3,0,0,galleries/multi_clusters/cluster_020.png
