cluster_id,n_members,max_iou,image_ids,n_prior_not_twin
1,26,0.8979,12942b14ee8cde158e33d537cc3582a9;2a484c7522f0a5e3a41654eb2c452fd8;338e30b609bbf80246203caf63a2f0a0;3f3f6a1f515cd9ae79e323a4759f0888;44f20df33112cfc1ae49f18ee2efc913;48896f2b866e9694586b3377025c4927;5497b569f15cb7ea779cc176d1faebe0;5740b936c0d44c94933f19203ad483ba;5a6125bdeb2906ba9267a26e98de56e5;5ffcf2372542336fe4ee3585bd07b6f2;69f0dfb6f42c910861aa0bbb23a12639;6d2cf90cf2df03cf1d9f2eb38362f58d;8a1520420384d8c11733edd40969effc;8efdb7429bd48a9e77862d5af5351267;9098b613c1e7dc1e50790bbdaafd4828;ae7dd6b6b0749f3b9b3001629b9db512;b01f92809dbfa747dc4d1881f400d99b;b1f6f5539ae4fdb9b931788dda704712;d6554a3cff6d6ceb5597382238954aa1;e241df65ca9194cb95c86f93ddd85bf7;e29f49849de6ff182d115fe2aa6cac3a;edb53390a53397b29cb85e21501b8efb;f344628cd3bfd6e1cd80456bca9358ab;fa741c964934cb194701d6630356adb0;fd05529859cf5ee53ab967a009dc7c06;fe6984b9e99ee331bb510c61f9e5ccd4,0
2,16,0.8593,25a27922edaf3f338e8693ededcbe1c2;478261713d5379009e2f1be1ad3deb63;500b90c3e7eba2e3b25818a8c1834d45;6b53efd54fcafb28657d482fc492fd61;6d567f83ca7130da285fcb26d3537762;757b927de93c8083c392f2248529d29a;82c289e2fb53713789599f77cf368bc6;85476f0cdde5f4f30e47541d5ba44586;a3794ec31a02fbf429486dd464f83d25;b13961504ea859ff34a150bc19fed335;b95035c00e6e99f3b4e3cd210700f6ce;d2e8ff5257ef522c1d7bef30c96d06df;d49075075de98ba225b3306bc8cfca44;da84230d35b22a900b153d5cb969a7a7;f0aa8148ce45747389ea072aaaae57ae;fd34d5fda33d3e8281837a2a4511f7fd,0
4,8,0.8165,49764620319a820dfd2e6738861b1aa0;81cdd8883ff6f9a18e75f2085db633be;87a1d44e21700bd0eb3db27371eb3999;9e0fa510b3e5a89ab765dfa48957a4cc;a28b628b33608b2cdadff12fc6aa2537;e3a86173361dbf0574a3781d540b5259;e47409feff05e7815c2908a2af47746b;fe025faa4c6e6de2a71f964b56de7c9c,0
5,8,0.8035,11a715facad7b619e3213ce126be1c77;4848dd56a8f4a49a77f8535469b9de1e;784c60e4447c017aaa12f2013352b92b;a1edceba3500660a6c75be946b20242b;a82ab9e22ff10be0575503d3262a1a61;bbbe47a9dda0f30ae9d6457531b84ffa;c9600084eb770e9fd5eecff32421e4d3;f4fb736869313562fdc74a65b7b9eb2a,0
6,8,0.7859,1dda4dfc7a97b5f37085727da5852db2;4600b8e6025b7af1836bedf33e2b5c66;4648da3952ca9db5259d110694b9ea8d;5568eb519a51d50f5b2ac52321a6efdd;9d283bf4e70970f0a5931a65dd0d5211;cb0a506d82d41888c1e0b1d54649a53c;cdcf73225944d4e87e64f178371d897b;cfdac1ca5172b91340648a9c1ed43a65,0
7,8,0.7789,33ec4577b716c843eb1224b41204aab2;4d13e4678b695a9b5e8793ba8ac8da2e;8a327e4efafb98dee0f93c40e64d761e;8f18d0ffda3fb439d6ad4473d575409d;91af122d94f80bb3d32eaed47bbce034;a48e97856c956d50cc4f522574cd37fb;b4bebe718759817d5cf440821cf435d7;e4229a7cea9d61ea5485091142e2fd3e,0
8,7,0.9012,0bfcecec15bb9bef0c8e59e2776ee3c7;452eca104841c28098e3ea454f9626c5;81750e90bca04910ea17513321e4a204;99cc5f5b9f1a86c14dc1970defb07799;cb56eeb149fe1d3df30a43e374d7ab94;f48064fda016dbc4391c353afb9e61c0;f6f6fd84d5275c9f2caa8edb15141607,0
9,7,0.839,ae1c6bd846449adbde74b0cba5cb7a19;b2de71e7e1619aa395f55e9859849f2f;b673c0657c283f76f9020350bba98614;cbe58732cb94078090d6a35b712e19d8;cf19c18868fc35dfd2628358ca4b73f1;f52d96b6efd32aa558588dd2e8fe1dfd;f61ec97dd1808dd49436c25aac6e0c4c,0
10,6,0.9259,65fc1018a8862bdbe4d8a063c3130a0e;6edc4da86334190089f6a093bf258ab6;7d5dbfb91ce9be33221e4ba9358326fd;82fbcd590d5506b7ce1122ee7159449d;b6084b84b97f67f4bd6adbf1fb74f2d2;f43994e34472b340e138b082c25d01e7,0
11,6,0.8921,321b013478d7d444ba897b75e9f71805;32291426a698e316ff990f4b93e27e98;6e6c2361d595ec7d96bccb42051c0f4a;6e8abccc98b71d43a680d69b3f9af124;a72727c39add8982af8cc5b32822bb40;a80ae4f5811fa7a1042d78be4aedf45c,0
12,6,0.8899,16272df65f00bdc126b5ca32de2b3a6b;5456189d4e5c15a790a868b70fd25625;60a18d14b13eb21b56f3d3e77a315af7;6a43f7e8b37e4f8a63ba3f178ef78016;7a2980fb744ca6ea7a9b5d9fa4d838bb;e956c0c77d87f17644ec64ccd2abd66a,0
14,6,0.8223,35d511cc9aa867856fadbe6ebf464d78;7d3af9f4ccc93603028c8bcacf2d4dff;84405e9c0ebeae71e44866948dbb6e92;a53b780941263a252bea531c73f2294d;bb8c26c5d0ec96b601d3ac2bd4fb2283;d1766314b6c9a6f528f4cb6643798d41,0
16,5,0.892,15a3396c7f121c19977fb8cf543da766;3cb4631d3f2db61bfa503633d37dc45a;5a89e95c1dfe4f320ac954517281f9eb;c4a30ab614d7d3e37e99434341191331;c4e0ad6ea862813515ef53b70ad8021e,0
17,5,0.8913,130e070fe606be39506ac1dc4bd7f5bf;1c8a65cafba1a82092bf5ff231205f71;69e6550df1d1713b0bde6c627c42deab;70d813b5e09d4fdac98c761c15c28a62;b57e87397f4281b1d3a918c7bd2c9e3a,0
18,5,0.8509,29fe9e445bbf0c9d84aec6799cbba4a5;50a159e2f93214ad4ebb0ec9c5d428f7;673449b5e46a844b12b1599781684591;69ab9dae3fcb1bcb79683b95e4836252;aeaa36ea58cad0b8121e59321ef1d41e,0
19,4,0.9313,2fd7cbd01f3cecb64e915a0a62121cda;46f1c6a77e6de339e042fbb6334ae713;878be7ee5bdda3b29e2417f6dc93af64;bd9022853225c1e8a46bc9eca27533f0,0
20,4,0.9131,50467a6acf3c242827713dc6dd1b5836;55321af8983669e2145d69e518fbc54c;9b238129762edd83f472e5b3abf9e639;f02b9020d7bc40972be3d30d13b745c4,0
21,4,0.8832,1d33889037497d32695ac48a786af6d5;2e8e1273e497a95810ed43ca7eaf09c6;6cf483d54bbae9d7fc1009a5e2cf782d;befda4b7504b03a7d5e9ca92f2757c41,0
24,4,0.7557,5dfac783c03cb58f51dd856ecc2bc16c;aa96214fca7ea520191a2263f0ee6ac0;fb8886059879eaac70139336cb525838;fe354e2b6f25e4f4110aed552eb55fc5,0
25,4,0.7467,0bce55d17bcc628e62c843a2420e723d;5dcd43e6710799fbb64f0c250a13d0ff;6aff87e11871f4ce9682eec497239c71;73f6bfb643e1d0d8d3868b7f1f0cd33d,0
26,4,0.7464,2268c3174c1c0890af7ae1bae4c8cd74;4ba91dfdc9e3dadbf2a947592ec3ac0c;e3f0542a702cef736b649df9a3a98e8c;eb62229279cd8ab73c9ca81171f14762,0
29,4,0.7014,2102cdaee1284c7da24effe67551ee87;6549ae500a4a645d44efb7a611c5ab21;a8a951c084f704fb77c2a3ab1c21b474;e8d79e4c9b85f70b581e3403241672e5,0
30,3,0.9665,367f122e80bcd0bffc02f6a04c1d8234;9effeea56c413b92340b89d1240769c1;b5343f9567df8a68c3276f8d8cdcc6a5,0
31,3,0.9322,6cbc6f7259cb45a4086cd584aec53857;94e121bc4a7091b881e8dd9b6c2be6b5;a21c88c3d7c1a95eec2fdc7300fdfee0,0
32,3,0.9231,2de0597cbb7af462bfdb7b1c4f935248;9d1bda4d28af5a9f5d1d96833cec1728;e9d628364cf51891028163e0cfca628c,0
33,3,0.9128,6a363e70baf98838b0093f9ae93052fd;7f8e10f3342e3763a4251fbde58ba92e;c614dc18ffa37f8007c2aead39e65342,0
34,3,0.8975,20295d0f4917e297c4827296397fbec1;a5694e9a3cdc76a58c9ad784e909abcf;b79a6f8a47e79bfc1dabc48c37d54464,0
35,3,0.8928,6b4c77b671e8412d65773f9614816db0;dc10032bf598b0a3268074de4bb2d7b6;e10ebd20ef424d61222ccc5e97dcc76b,0
37,3,0.8819,63226114e772943ce7f8017d9f5d4b90;70f71c6fa7ad2baeaff157a299e276a0;df4146c2cb4e97d9c227bdd90d4dc6f8,0
