cluster,drop_id,n_patches,redundant_with,iou,kind
multi_C41,eea47f9bc6d774e29cd36167365775bf,117,a45c077803194bf256f58964f457d5cb,0.8277,twin_of_KEEP
multi_C41,09a9f7497e6ba14eb0a12388ca17540d,105,a45c077803194bf256f58964f457d5cb,0.7618,twin_of_KEEP
multi_C55,2de0597cbb7af462bfdb7b1c4f935248,100,9d1bda4d28af5a9f5d1d96833cec1728,0.7792,twin_of_KEEP
multi_C55,e9d628364cf51891028163e0cfca628c,100,9d1bda4d28af5a9f5d1d96833cec1728,0.9231,twin_of_KEEP
multi_C47,620a6fbf50a7463ed0a8932782d7b969,103,30703edaf3bf39b0d04685f0f0a1d43b,0.7583,twin_of_sibling
multi_C53,6303244b26eef8e081298bfeac827403,29,3eee912c7daba1d6c5c6968ef71b5570,0.7371,twin_of_sibling
multi_C44,cbaaf646e582b153aa87262de00bd4a0,27,49a2ed9b6af2a48a788b9dd6066bdb0a,0.8099,twin_of_sibling
multi_C50,df4146c2cb4e97d9c227bdd90d4dc6f8,68,63226114e772943ce7f8017d9f5d4b90,0.8819,twin_of_sibling
multi_C46,6cbc6f7259cb45a4086cd584aec53857,20,a21c88c3d7c1a95eec2fdc7300fdfee0,0.9164,twin_of_KEEP
multi_C46,94e121bc4a7091b881e8dd9b6c2be6b5,19,a21c88c3d7c1a95eec2fdc7300fdfee0,0.9322,twin_of_KEEP
multi_C52,8596a2f7e68a0e11a5653fb2457db08f,137,ff80dfefc41b8863b476c5840f88fec0,0.733,twin_of_sibling
multi_C40,b5343f9567df8a68c3276f8d8cdcc6a5,73,367f122e80bcd0bffc02f6a04c1d8234,0.9055,twin_of_KEEP
multi_C40,9effeea56c413b92340b89d1240769c1,71,367f122e80bcd0bffc02f6a04c1d8234,0.9053,twin_of_KEEP
multi_C48,c614dc18ffa37f8007c2aead39e65342,31,6a363e70baf98838b0093f9ae93052fd,0.9128,twin_of_KEEP
multi_C38,dc10032bf598b0a3268074de4bb2d7b6,25,6b4c77b671e8412d65773f9614816db0,0.7488,twin_of_KEEP
