cluster,keep_keep,keep_of_pair,drop,drop_drop_iou
multi_C43,294017fb97e4fec299eb8e83fd2d3be2,,05b09773ad1b34275f0b5adee3c650ab,
multi_C41,a45c077803194bf256f58964f457d5cb,eea47f9bc6d774e29cd36167365775bf,09a9f7497e6ba14eb0a12388ca17540d,0.8551
multi_C55,9d1bda4d28af5a9f5d1d96833cec1728,2de0597cbb7af462bfdb7b1c4f935248,2de0597cbb7af462bfdb7b1c4f935248,0.7697
multi_C47,1141ca7040f9f32bf84531cc1b1d9f51,30703edaf3bf39b0d04685f0f0a1d43b,620a6fbf50a7463ed0a8932782d7b969,0.7583
multi_C53,c2f90bbc5200609817a0745279582e72,3eee912c7daba1d6c5c6968ef71b5570,6303244b26eef8e081298bfeac827403,0.7371
multi_C44,9a4ba048c62623465d6a7a0d8549a657,49a2ed9b6af2a48a788b9dd6066bdb0a,cbaaf646e582b153aa87262de00bd4a0,0.8099
multi_C50,70f71c6fa7ad2baeaff157a299e276a0,63226114e772943ce7f8017d9f5d4b90,63226114e772943ce7f8017d9f5d4b90,0.8819
multi_C45,b4265cba12f772b5bb29989f775f8906,,8b126306391fa2af0f8bea265f2c9666,
multi_C46,a21c88c3d7c1a95eec2fdc7300fdfee0,6cbc6f7259cb45a4086cd584aec53857,94e121bc4a7091b881e8dd9b6c2be6b5,0.918
multi_C52,1496bd10b5eb474af7b764aed67309ba,ff80dfefc41b8863b476c5840f88fec0,8596a2f7e68a0e11a5653fb2457db08f,0.733
multi_C40,367f122e80bcd0bffc02f6a04c1d8234,b5343f9567df8a68c3276f8d8cdcc6a5,9effeea56c413b92340b89d1240769c1,0.9665
multi_C48,6a363e70baf98838b0093f9ae93052fd,,c614dc18ffa37f8007c2aead39e65342,
multi_C38,6b4c77b671e8412d65773f9614816db0,,dc10032bf598b0a3268074de4bb2d7b6,
