group_id,cluster,S,role,image_id,n_patches,keep_partner,iou_vs_keep
1,multi_C43,1,soft_alive_former_gallery_drop,05b09773ad1b34275f0b5adee3c650ab,165,294017fb97e4fec299eb8e83fd2d3be2,0.6748
1,multi_C43,,gallery_keep_partner,294017fb97e4fec299eb8e83fd2d3be2,114,294017fb97e4fec299eb8e83fd2d3be2,1.0
2,multi_C41,2,soft_alive_former_gallery_drop,09a9f7497e6ba14eb0a12388ca17540d,105,a45c077803194bf256f58964f457d5cb,0.7618
2,multi_C41,23,soft_alive_former_gallery_drop,eea47f9bc6d774e29cd36167365775bf,117,a45c077803194bf256f58964f457d5cb,0.8277
2,multi_C41,,gallery_keep_partner,a45c077803194bf256f58964f457d5cb,124,a45c077803194bf256f58964f457d5cb,1.0
3,multi_C55,3,soft_alive_former_gallery_drop,2de0597cbb7af462bfdb7b1c4f935248,100,9d1bda4d28af5a9f5d1d96833cec1728,0.7792
3,multi_C55,22,soft_alive_former_gallery_drop,e9d628364cf51891028163e0cfca628c,100,9d1bda4d28af5a9f5d1d96833cec1728,0.9231
3,multi_C55,,gallery_keep_partner,9d1bda4d28af5a9f5d1d96833cec1728,103,9d1bda4d28af5a9f5d1d96833cec1728,1.0
4,multi_C47,4,soft_alive_former_gallery_drop,30703edaf3bf39b0d04685f0f0a1d43b,113,1141ca7040f9f32bf84531cc1b1d9f51,0.6693
4,multi_C47,7,soft_alive_former_gallery_drop,620a6fbf50a7463ed0a8932782d7b969,103,1141ca7040f9f32bf84531cc1b1d9f51,0.7164
4,multi_C47,,gallery_keep_partner,1141ca7040f9f32bf84531cc1b1d9f51,58,1141ca7040f9f32bf84531cc1b1d9f51,1.0
5,multi_C53,5,soft_alive_former_gallery_drop,3eee912c7daba1d6c5c6968ef71b5570,30,c2f90bbc5200609817a0745279582e72,
5,multi_C53,8,soft_alive_former_gallery_drop,6303244b26eef8e081298bfeac827403,29,c2f90bbc5200609817a0745279582e72,0.7038
5,multi_C53,,gallery_keep_partner,c2f90bbc5200609817a0745279582e72,27,c2f90bbc5200609817a0745279582e72,1.0
6,multi_C44,6,soft_alive_former_gallery_drop,49a2ed9b6af2a48a788b9dd6066bdb0a,28,9a4ba048c62623465d6a7a0d8549a657,0.7237
6,multi_C44,18,soft_alive_former_gallery_drop,cbaaf646e582b153aa87262de00bd4a0,27,9a4ba048c62623465d6a7a0d8549a657,0.7114
6,multi_C44,,gallery_keep_partner,9a4ba048c62623465d6a7a0d8549a657,9,9a4ba048c62623465d6a7a0d8549a657,1.0
7,multi_C50,9,soft_alive_former_gallery_drop,63226114e772943ce7f8017d9f5d4b90,68,70f71c6fa7ad2baeaff157a299e276a0,0.722
7,multi_C50,20,soft_alive_former_gallery_drop,df4146c2cb4e97d9c227bdd90d4dc6f8,68,70f71c6fa7ad2baeaff157a299e276a0,0.7124
7,multi_C50,,gallery_keep_partner,70f71c6fa7ad2baeaff157a299e276a0,119,70f71c6fa7ad2baeaff157a299e276a0,1.0
8,multi_C45,10,soft_alive_former_gallery_drop,68a362123aff27d79dbc5284a948030c,113,b4265cba12f772b5bb29989f775f8906,0.7149
8,multi_C45,13,soft_alive_former_gallery_drop,8b126306391fa2af0f8bea265f2c9666,123,b4265cba12f772b5bb29989f775f8906,0.7048
8,multi_C45,,gallery_keep_partner,b4265cba12f772b5bb29989f775f8906,118,b4265cba12f772b5bb29989f775f8906,1.0
9,multi_C46,11,soft_alive_former_gallery_drop,6cbc6f7259cb45a4086cd584aec53857,20,a21c88c3d7c1a95eec2fdc7300fdfee0,0.9164
9,multi_C46,14,soft_alive_former_gallery_drop,94e121bc4a7091b881e8dd9b6c2be6b5,19,a21c88c3d7c1a95eec2fdc7300fdfee0,0.9322
9,multi_C46,,gallery_keep_partner,a21c88c3d7c1a95eec2fdc7300fdfee0,19,a21c88c3d7c1a95eec2fdc7300fdfee0,1.0
10,multi_C52,12,soft_alive_former_gallery_drop,8596a2f7e68a0e11a5653fb2457db08f,137,1496bd10b5eb474af7b764aed67309ba,0.7201
10,multi_C52,24,soft_alive_former_gallery_drop,ff80dfefc41b8863b476c5840f88fec0,141,1496bd10b5eb474af7b764aed67309ba,0.6676
10,multi_C52,,gallery_keep_partner,1496bd10b5eb474af7b764aed67309ba,165,1496bd10b5eb474af7b764aed67309ba,1.0
11,multi_C40,15,soft_alive_former_gallery_drop,9effeea56c413b92340b89d1240769c1,71,367f122e80bcd0bffc02f6a04c1d8234,0.9053
11,multi_C40,16,soft_alive_former_gallery_drop,b5343f9567df8a68c3276f8d8cdcc6a5,73,367f122e80bcd0bffc02f6a04c1d8234,0.9055
11,multi_C40,,gallery_keep_partner,367f122e80bcd0bffc02f6a04c1d8234,73,367f122e80bcd0bffc02f6a04c1d8234,1.0
12,multi_C48,17,soft_alive_former_gallery_drop,c614dc18ffa37f8007c2aead39e65342,31,6a363e70baf98838b0093f9ae93052fd,0.9128
12,multi_C48,,gallery_keep_partner,6a363e70baf98838b0093f9ae93052fd,33,6a363e70baf98838b0093f9ae93052fd,1.0
13,multi_C38,19,soft_alive_former_gallery_drop,dc10032bf598b0a3268074de4bb2d7b6,25,6b4c77b671e8412d65773f9614816db0,0.7488
13,multi_C38,21,soft_alive_former_gallery_drop,e10ebd20ef424d61222ccc5e97dcc76b,61,6b4c77b671e8412d65773f9614816db0,0.8928
13,multi_C38,,gallery_keep_partner,6b4c77b671e8412d65773f9614816db0,65,6b4c77b671e8412d65773f9614816db0,1.0
