pair_num,page,row,pair_kind_was,shape_iou,keep_id,drop_id,action,reason
1,1,1,NEW,0.8558,15be10044a3e4b704d0822432416fde4,bfc5aa2abac6018b587819bf87cb1f9a,drop_twin,user: rescan safe P1/P3 are twins
3,1,3,MIXED,0.7259,e528d21e5e6c87a9a1579214f6ec345d,773d5f35cb242573885d18d302a9157c,drop_twin,user: rescan safe P1/P3 are twins
2,1,2,KEPT_NOT_TWIN,0.7465,c0dbbf2b29da2ef0cab6bc7032e7ac92,6e79fc78cf67358d3d16daec5573b5a3,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
4,1,4,KEPT_NOT_TWIN,0.7241,fae6996aeed84a9a75cbe726be46bab3,3f0c4e9f8fb3b846e49bb1ca2b3021ef,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
5,1,5,KEPT_NOT_TWIN,0.7232,3ee16cef000a96c344248a90e5cfccd2,8d2d81395c6a14a4683d92b7db8bf18b,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
6,1,6,NEW,0.717,d676924aa4d2c3259e47e91955fe161f,c4cde1827d4895957ca8507e37a3cf76,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
7,1,7,NEW,0.7169,1c4653246dc78308252d47160786ad15,8d5860e10e09ee25e066ee7fb699453d,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
8,1,8,NEW,0.7162,2a837ababa0cb124818a3b4852244711,4c25d8ba4a2ecabe2b69b901c994e2dd,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
9,1,9,KEPT_NOT_TWIN,0.7122,b31d1678d2148a94702ffa5bd6ac3aba,8ca4eea53dab8fb41f2ba01deb4e84db,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
10,1,10,NEW,0.7105,7fa4634ab59a7832bc877fef162eacaa,a1f79e44db2ca88a3c1b330af1343d61,keep_both_force_train,"user: rescan safe not twins (besides P1,P3)"
