group_id,n,grade_pure,min_cos_in_group,confirmed_twin_pairs_inside,split,image_ids
911,45,False,0.8387,12,train,2314634bf328b5e24bc7a5a3d82c08ee;2071295e7aaa84c087939f5017e7f7b3;37aba3bbad701308106b141471c063f0;2577c90f6ee46adf9d3f7c16ba8db9c3;53fd8c8bf3e1a9cc53ee823331428bc2;585673c1e2a7911db8386224726284ed;41a057757b0520ff53068b6dcce9731e;4d1dc70143798d122476599ffc3df68b;61aa2232965122bd1e0d87d933bdf8bd;90b46d166cca71d23d7158ce41f5863c;a0e3a20a3cbf77644e69b241910b994a;93a53e5582574f10426754a9ee48619d;773e080a5857ba8c0669c435af2f1095;85023ba8cc7feea2e418d107c5bb8e92;7274571a802c724b6bb60c4e0ba08bee;700e60e9a130333e62698a1c4ef46fa0;e0c370969267c34db431130a881e72f4;e5739e452d5b7c5e68c4171ece2557e3;d0a19a35996817e2b7a5f4c6c35c57be;db5eaab164a4b81f27444d1c80bc33ee;cc2681fc29015a9c20bca401aba9d489;f0197942d5cd986426ed3550e562d495;f88e932503d0e42467edb710bb8b9c46;fc547d2e786c1d19163f39dc576c0231;b828e67db7b84d0d18b5498c8c185874;ba688af0eaf8cb53ccca7ee628a4691a;b6bd9248ed2b894808d5a922f8c32d9f;b0b8b9f98e54aefbf88c4fca02fde51b;06d4ebd3d0ee6d3514d07ccfba615def;7ac75b11d166936c552ce33e170afd4a;67bc9a23a87b07457464561b22515733;5e7fe1a769c7dd7871d42af620720625;71e7c927ed3da27ceae3de5699ff2f86;2ad0f2857a4552a25127205fd04a5e9f;07106a451fdebeaa73f2db13f295bfb1;8ce7e69e255980b50a2f8a7289bce5a6;3fbe2ab4f1952e0ffa467c88154b5b14;2902a2f38703f59632892819a1c72377;9140f25d89ce21afd290027d237a1c36;cab0adfc6e551c4cca471512b2e200fd;b0b0bb292409f1613351c5a4c2f6a25a;adef73f1a19ad047a97ba507c3312798;89d9673df0dede5b57c52f98b43c1f9e;3e8bd1b2ba7150e058216de2fe2bb3fc;b0c0c27f31e61e4baac76e71dd29287e
1298,38,False,0.8011,8,train,331df8bf3a7f766dfe45ed525040fa85;2ee5b3ee58d54264c2a037ea1c0ada4b;6ae973c0f3341e2eb19e08dfe4ee42fc;64836a799f01a425ff277deed36210cf;6392947d42a28861f68363b1f2e536e5;5a46e8adec9c72070618f776583dd581;599109af85cae9e827c3e89982f0033d;3ff30b9406f4c44c9b8dba47615f1fca;a265cac37acf69f2cfeae8a184d0f510;afa9966f243d37df8f8cb04683163c89;8c2de4d3ad43ab2d960337fe7b14f0aa;86ac44c7c69cbaec3cb234023c436341;85fb392d25b2a8c56e054b2e3cf4b0ad;808b08eee6fcba85c15f66c78d2ad293;7e33e3ef6468638fc307b42f5b78e98e;7436cdbf9876ac812cdc3ea7557aadaa;b800f38e7f2bb9751e332a03e92d2a1f;e5e5afaa4adc21dd69b387dbcb91aa74;e10ff644b1121aeaf5a060e6875f7867;cbf05dbfcf24b4fc7dded902c1ac37e3;f0bb29042dfb17421aac02138f8e9d20;a778ef2839b7492090564d78367aaddb;cab3d02d82d55997dfabc99e84516de7;20be7c34058e2f24ef3bb0cda3c376d5;21e4e2533162dc9eea4b2508b0d3df46;30a51ed1a47b8312c8607b32e37cce85;d13eecf391803d164d6f0fd89f1871e8;2caca376bbc989ff677e3c82928b5fd2;c3249c406e4f7d0f508c8bd96dd32c56;741f6260e0f75b64a72e9a905003c29d;0eb4c1db923d5395c5eb15e8850804ed;6e9f8456612b8c7ee6c4a5027539bf80;8f8d20fc6e9b6aa3b145e359e104eac4;b55ebab767215763af3351cde52fc402;05f79307ac65a11d52caeada92e68949;88fcb6de1ead418b238f198a635179c0;99b5e6120fe11690a3f36994f2dba580;f2f9aa01d545ac770dce5e61e6d756d4
1132,27,False,0.812,6,train,310c156419ea422872c92052fddd902b;38a49c3566f387a867629c5f6c31a72a;4e978306ab3277fb0a1d62b802eb1054;60a15dda8570e347a3529a062fb1d5c9;789a88aa6341166fa4e3e08647d3d0e8;80645c22c26e113e14fd16a0fa837f54;75d6fbb7553743b1b4231df1f327de28;977a4281401b63f74739845b3ec98023;b440e34f6b1bc9abd0844a7ed19a6b45;d74ad1248c21f6a8ab77a7462e1dec31;d1de8d4b1b39a0daeb0038f93931665d;cf82146a7d5cfc712501c6471ccb882e;ab17f187d0cf1522c838108906131162;bd525e9a428797c9afb48a9ffdbe5160;3b58fcd7537d02088146c3b4d1ba1e38;2ebc99a3c4af2b3f021ab423c0ab1e8a;dc7254ab21584e852fe556646c86d6f4;91afb93637f5f86aacf904fcbe2bf5d9;5d7632f1794e2cebb36e21c51c9f4402;e5875827ce9f2f526f46eefff35ab893;4ecad8aefbc2ce6931baaee0cda6955b;3f5ace05ae2e2cee322fdee09da53f0a;76c8934b7350a3ad777b94f624390dbf;917bea3ff0173996f94b1adca79213e0;7234d2bf2df91f65e94e9ecc4ec5827d;4da76442dc5402b98d767140b2661a58;9c5e3c81373fb5b89448fb66e733802e
1389,27,False,0.5676,6,train,139aa5db6376a70044c4c6dd6f4a6666;140543a4d39b1a3ed0fce740ba2feb3d;3d5b16b57612afc445ab30c74f2b6972;514f766f399e03368682786c5d23f3e8;8634ef0b80d1353887839c0a4a36e074;a280d60407c69e37fad4d7290ac948a6;84ddef23ac361e8977e4673ac116b6dd;a58058bcddd545690af8cbb09f71783a;cd636fee80a3058dcd3f5428d997a153;f9caed448e138e702ee5a2c906a671fc;89ce8e0a494db9c7ddc68dbf58729c68;fd64300587559ec5de63c8c448c8b958;fc841358b1ae7c119b6224d0076046f4;2362d93816e6dff7db5f3de85b660777;0dfaba8f37fac34150fb70ca8e425141;28eaf92d73381366c785c97a675762a4;295e1526a3281254a94586b9980a3056;8e3e843a0eebb79b5ed06f97c078eb87;5568eb519a51d50f5b2ac52321a6efdd;3f09402aa669e0e9f91b7f158c8708cc;c14efea7c94be982c8045ff9d3c16266;ebb6d5ca45942536f78beb451ee43cc4;b20b5b841b6f7c1726599e067de01bae;bad219691caef5dabf2c41f8a9f531a9;4517c109e23cf3b572373db82b519303;b245cf055b22a9d837cc4f5c97b63a8c;a4514f8a6800bf122ae746c4f573ee6f
1472,24,False,0.8095,2,train,16a9e8227156e2d8598cd22e633610be;a295b26b9db32ad2795fcdeef1d853db;feef5163846ed7e60b2faef14e91de09;ebd0b86bc3cf2b3fc044d8178f6541dc;921e586c2b5c9ac5b164f2229f7ea9f6;939821c6b92db7fa382c47c1c5c120e6;4df489a9cfb4d30f8613a9dcdcdb6697;1a4ca4766f17d9244e867783c042fb53;9df49d12d43e709cb6b1f4c5878e8917;9d283bf4e70970f0a5931a65dd0d5211;b0b38a63ab55065b25c3f5b839c8a72e;fb8886059879eaac70139336cb525838;b470c2276d978f63d5b1c8a5a9446212;f80e5b2afa3ebf635c446fa08a3d7a45;8546b73cb1496ba85aed909ee151290b;66617150a489dc0628762098b0fd8e99;ffe236a25d4cbed59438220799920749;4b6bda9f84d5ceb4ba81db95e382933c;8692eb523165283411d0ceef96c42592;0402b113937fa2d9ed77d3dcd8b6460e;f50e9b75a0d7c2e4ee32bbfb10eb7164;2a560b45f1696770fecd76bb8ca75c59;b22a805186b5c95212db780854e5d2fe;37355e29029bdc13096902e0d82a9b88
1061,23,False,0.8286,5,train,0db426156d588a5bb0b6036ac0465be0;0f5c20d93b7c6b92fafc26069ebe239b;144b7114a9ffe98d0318301946629813;243111debafd72d448a03ca22a0be2d7;3e508c22af058baeb48beebd9b03be01;3d334ec1be0544fd6fff794a77631eef;5bc396007c667e5fec6587d07a9af93e;4170f061044a480249355b4dcc4306cc;7bed5662489bd913da7e9792f715c1ed;6ac47ff65ded3ec22e05cf158462c9f2;745ff65e8c4d1006694049e1da8b938b;dc474e15a61e861a6a14f334e10a7934;d7bd6d0c6842670b171b5592dcc1e9bd;acd9afcc1ca7c5ad56bf3a16f831b291;9dc28ee23b2f728632e3ac9c1421e23b;890d0c582d769f001e95fa6f38252daf;dffa5e1d1d4501837cc9aa54a56ae1a7;1a2aac625091eebb572f8b74bb8d1ce2;51fc45502634ba97726929d243438c63;2dfc3c0d45043aa9d7aee9560f487a43;ff28b460869954e8ba28ff6b9919e46a;548590e1e989bb302539aa8ef1e9809c;6c1ff5288e07d67d22055a334df30094
1183,21,False,0.7811,5,train,30a54c050c9eb531d2709b05ede484ce;6f5722cf3b8e5a90dc1e0eff127c4632;5cc8a6260ae47db4e4e69717ab8c405e;a0a19caa7f2b6ff84b3e5cf0aa3fc68e;8ad12c31792813c22bd2082d91642c91;87fe5740deb9d4ef755cc157ff710cef;812a1113758fbc57bd0dfd6fd6d9a1a4;72e64850d127c65815492af84473a26e;e9b16b6a3206f9a26acfb6fbeeab0458;530f322b76df13d90d37b08b7c592e39;d5b260922fb628cf83d7960ef02c4e60;e9df02bcca00d27da3a8088ea4e8b56c;b0e4ac380ceb1b245dd4fe6052913919;a36ee9f2bc558182239d85d1f7a74e9b;128ade97a27c446fb413b1787426760c;08b04f43997889865568c2c0d7bba8ab;dff285c9260f7f68f4e97fb6abd32043;be403ce415609008605d63396869ed2e;2d1ab39f0ff6e7285467da5c26750d20;3c6610ef769e5c09d9e7b9d2c2fddb40;bc57d58be4d2adc326b4dd33e892d143
375,20,False,0.8022,5,train,1c6e04c29601f73eed22bd7b6381b8e1;35b5971800492e04d2ecd6b3439b0017;501eb15b8ae1aa3507aaf0b3ba6ca231;898c2d26d40846143d477f1b625971a1;ab81e59d765182466b1c5dce9641cc38;85874a84d6fd4b14d5d9816650a6a17f;c115a53d035363f2cc49ed0b98934b9a;b339154c789a5103d16f3cde70f20fb9;8d023fab6d98cb21342681e0dda180d0;0c74f7e82d446bd1cde9628fd6fa94e3;623155cecfa8cc671054be004d6cb2cf;7f15c706a91ae8c7ccbfaae1897aa024;612aa3391b33578ba22ef3d3f3ef9d90;f6df497ddcb8f033d7c28c05fe242aaa;2f307cc31799996529e44c0bcc87b9dd;5c023def11d24939459afd3e3cb69620;5c707b3792821638b84b524ef9ad3d4e;2cf0ca3050e57483195091e21cfbbab6;4056ca62c7372fc17eb1cb55d58f0866;b2b496615dbf9fb305bbc7ad5ac399c5
1026,19,False,0.8551,7,train,06eda4a6faca84e84a781fee2d5f47e1;56deba64468141b0968ad8899b121b15;58accdf477bd85e51be2e67c291b0896;c8cb1c570b772e3f7943e254ba096e9e;98eff279b10d8e5186e406ef91de2f3f;8e8e466ee8644a88c48ff4decef87949;87667e72b7fa0491a09fc9555894bfbe;68e6f2bbdbb308624ed004484a1da2b8;dd11c9143fb6c56396e0693465d2430e;da07bf2ac3a36b2ff58e35561f15613f;0c4c5c0598098cb221d34dc154cca14f;621f180f39962cf8dc87f62cf681200b;9dc34fcfebf02fc4fac7a84a1c99ca5d;79d835c5885552240b7e7dd5a5201dde;45b722a9c968f995fcc13d1e59cbcc88;4d65e71e1e9562f67cebf7cfb462c5ae;dae6cec7cfe92958d8586bd9ac1d7383;66bf5fa7e14d885f38e3dc61a64f41ab;bcaf9c8890c50757bd3624d5bd39c270
477,19,False,0.5568,3,train,38c6319c29001aba4db299be8dcfb874;6447c06bb4e5d34646a8e0c97c10b588;6852a90de22d33d9a04d831ba37395a3;25f05be992338d0229bf3a5cd110143c;80b57cbfbaa4a0565a5e4839c24223b6;c3145055564aaf6c2ecea73a04bbe476;31cf52bcc7a77d04bb82932c235c796f;cd248eb09a3e4a1ce70b2745f45ce332;c141ed8d4226eef5e743d77790063398;758abc79f666a398d3d3bde30eb9db2e;402fa51bb615b1a88200c65ce22c76fe;2b2d9708e830ea9fb021f1f7ad96f25b;e5dcae49fce83049904699a5001ec0b3;f74b179bb617e92a6122aeb16d85bc50;a08e24cff451d628df797efc4343e13c;4621bcbbece53892b356cd1d7ca6d884;a8133622df02940b40d4dc7c6c0b2712;6875cac943f84443b8e7c2a44ee809f2;39f36065811dabb953b5fa41f826f669
