plus_id,n_plus_patches,nn_live_id,nn_live_split,nn_cos,nn_live_own_live_nn,nn_live_own_live_cos,mutual_nn_with_live,top1_id,top1_split,top1_cos,top2_id,top2_split,top2_cos,top3_id,top3_split,top3_cos,top4_id,top4_split,top4_cos,top5_id,top5_split,top5_cos
010670e9572e67e5a7e00fb791a343ef,173,778bd33e4eb7fbc28402051743b78aa2,train,0.9843,d8f6b2a76413e5b03d0ee89d2792e610,0.9678,True,778bd33e4eb7fbc28402051743b78aa2,train,0.9843,f03af6a10717282de524bec7dc01111f,train,0.9685,87668b74a71c46e1794107bb5f32d44d,train,0.9629,9fdc67635e14822c347061fd50f40939,test,0.9628,d8f6b2a76413e5b03d0ee89d2792e610,train,0.9619
01227af585a47c16680f927d21a7f06a,73,f90b38ef792d1763de8a25d33fdff1cc,train,0.9835,2cf2371193eb1c0cf34ca2562004d5e2,0.9783,True,f90b38ef792d1763de8a25d33fdff1cc,train,0.9835,2cf2371193eb1c0cf34ca2562004d5e2,train,0.9697,11f1519eb38ea10e74539a5d96cc8567,train,0.9637,c5a4e4c6224fc6ac14e3e777a04258c1,train,0.9611,365966c438c314e225b1c81cccacb187,train,0.9591
018eabc8f4503ab89d0725b430e4808f,79,6bdd4158abad8cc5af266f1845eb065d,val,0.9834,bd8574cd5bcbedb9213ca45e8beb7561,0.9747,True,6bdd4158abad8cc5af266f1845eb065d,val,0.9834,f59aa908b06ae529d212effa3888e2ea,train,0.97,231c7be81560497b2015a0b9a9a04d32,train,0.9672,bd8574cd5bcbedb9213ca45e8beb7561,train,0.9671,134d69e06d397dc06ed6794b737c63fd,train,0.9656
58c9ebcb84cf500f25352367f27fba56,115,8e45b3d90a0b2ff168f2851d2b0efad7,train,0.983,777e89beb78fc98db5806423fe7f7254,0.9687,True,8e45b3d90a0b2ff168f2851d2b0efad7,train,0.983,974916a28bb67ac840a9305d18d3cd61,train,0.9681,777e89beb78fc98db5806423fe7f7254,train,0.9646,f102169b07ee29e61ed6001725f076e7,train,0.9623,1c3cb1efbcd042da9d3f1939f4c8418d,train,0.9596
d9a927bfb26b22cde6b52515c9adda7b,113,e47409feff05e7815c2908a2af47746b,train,0.9825,c266773fdf88a75561821afdb49cc0e0,0.9608,True,e47409feff05e7815c2908a2af47746b,train,0.9825,dbad8f645978711294f000ea54f903d3,val,0.9607,a55cc8df950bcadf4cd61ff470d74246,train,0.957,15ea2d5d326ff73f1f5b25bf7721232a,val,0.9549,060121a06476ef401d8a21d6567dee6d,train,0.9545
56e6cfc2a0ae0f493cf1a98689ca2afe,111,76646d841dfa7b647f6034e73417c1ee,train,0.9802,68f5d0cf51594a0eea7f8d19447d4d61,0.9754,True,76646d841dfa7b647f6034e73417c1ee,train,0.9802,8d2d81395c6a14a4683d92b7db8bf18b,train,0.9669,1dda4dfc7a97b5f37085727da5852db2,train,0.9653,68f5d0cf51594a0eea7f8d19447d4d61,train,0.9648,fc0109ca8340e1cea99e1a26e40aebd4,train,0.9645
591da133fabcfdfa629d09729d356cda,75,eb341a42f1e27d3af125fa1bcba8c799,train,0.9799,64fb4585a1a2f2ec2cdfe6e0e831dddf,0.9533,True,eb341a42f1e27d3af125fa1bcba8c799,train,0.9799,308af8bc571b7c2e743a35d7489e4e32,train,0.9618,21e9ed95b0e48b751b987794aa9cfd8d,train,0.9542,af3d444497d045a442cfe01a4269f47e,train,0.953,aa4a74ecfa3460efebc1951c29b5a96a,train,0.9522
9362ecc68839f01d586019a2782f3552,95,d54603c7b6fda2615c5576d137c750c4,train,0.9791,0794712a5fdd9d31bdb4ea7c4f175054,0.9624,True,d54603c7b6fda2615c5576d137c750c4,train,0.9791,883da8599360fdc5f7ce01ec771b2e65,train,0.9665,beaeb46f623d7739758358065ecb0bab,train,0.9647,0794712a5fdd9d31bdb4ea7c4f175054,train,0.9624,623155cecfa8cc671054be004d6cb2cf,train,0.9606
010dea54bfd0a4a1eb1c0719949bb4a4,105,6a452b5662c18fdefc5dd4c8669eb781,train,0.9778,129065b74e139bb331d985027c1da317,0.9725,True,6a452b5662c18fdefc5dd4c8669eb781,train,0.9778,129065b74e139bb331d985027c1da317,train,0.9725,d4f9cc7d8f83db9394cd95be9eb10b00,train,0.9597,18157fa5a744739d34a3c498e4aa8dab,train,0.9578,36dd11dbc0aba4413623bdc44775e6fe,train,0.9572
59a0932027596ac986f52a74d30217bd,125,eca989843a1006206f8af3503b71b66c,train,0.9764,a17e3c28db1efe5c03c927e64399f6aa,0.9729,True,eca989843a1006206f8af3503b71b66c,train,0.9764,44f20df33112cfc1ae49f18ee2efc913,train,0.9693,214461bdbd0837e1188244d0cad99460,train,0.967,a17e3c28db1efe5c03c927e64399f6aa,train,0.9596,2b4e8eac6e778eddf0fe5b64e7ab47a8,test,0.9541
