id_a,id_b,cos,rank_a_to_b,rank_b_to_a,best_rank,mutual_top3,isup,split_a,split_b,cross_split,group_a,group_b,verdict
7ad575414ac3516485d5ed13602aa8b8,9cacb539b16561b6987029301b5f4bff,0.9834,2,2,2,True,1,train,test,True,307,450,
42482ed25f9001ae44f6148432da91d7,f9285fe284ce30f4d249635062db619a,0.9825,2,2,2,True,5,test,train,True,1297,1179,
5af696841a9c6453f9f667bdab0621e5,7a2980fb744ca6ea7a9b5d9fa4d838bb,0.9817,2,2,2,True,4,train,val,True,148,275,
378e5f9c174b753e2269e584ba82a086,7ad575414ac3516485d5ed13602aa8b8,0.9816,2,3,2,True,1,test,train,True,450,307,
467e6dae0cb2eb1af21e9cc3c602fde7,7a2980fb744ca6ea7a9b5d9fa4d838bb,0.9812,2,3,2,True,4,train,val,True,148,275,
5bc396007c667e5fec6587d07a9af93e,75cf9bec1ba79a53d29d9d81762e1817,0.9805,4,2,2,False,0,train,test,True,1061,1160,
5a6b69b21fd586cb4d71597a614c07e5,a3fa13e9535729ec9cb08f17bc8c03cc,0.9804,2,10,2,False,0,val,train,True,188,767,
7e8136cda906272497595cfb2088f4c4,a09c9526e3316571648552d78ac37c2d,0.9804,2,2,2,True,5,val,train,True,1055,1266,
059cbf902c5e42972587c8d17d49efed,aaef504823a0043ebc6063bc805baa38,0.9792,2,2,2,True,0,train,val,True,461,593,
378e5f9c174b753e2269e584ba82a086,819d52e0a7764b66c39bc55875e71ba8,0.9792,3,2,2,True,1,test,train,True,450,307,
64d853ef2f8fd85e3a9b09d3791780e7,6bfa122b5832ffd442a8123153f5d252,0.9792,3,3,3,True,0,val,train,True,188,1382,
58d13c5b7c1d86814e7a9451fef0d9d5,872dc7b2f6261284df1088e4ef2f8256,0.979,2,2,2,True,3,test,train,True,139,341,
490417dca347af4b988ecbe11c54db52,c8cb1c570b772e3f7943e254ba096e9e,0.9786,2,2,2,True,0,val,train,True,97,1026,
64bad048716c6feb71b7e86d4de897ef,64d853ef2f8fd85e3a9b09d3791780e7,0.9786,2,4,2,False,0,train,val,True,1382,188,
75cf9bec1ba79a53d29d9d81762e1817,9e1d450a04253ab097601c9934fb5e6a,0.9786,3,4,3,False,0,test,train,True,1160,986,
7c440d8eb7dbda63b0b45b7773fa8279,85b2c32f16826bea58d82dfd39b6d3e2,0.9785,2,2,2,True,4,val,train,True,279,862,
a3fa13e9535729ec9cb08f17bc8c03cc,b6ded09044a0e4415d7c2424f3597e3e,0.9785,13,3,3,False,0,train,val,True,767,654,
819d52e0a7764b66c39bc55875e71ba8,9cacb539b16561b6987029301b5f4bff,0.9784,3,3,3,True,1,train,test,True,307,450,
63080d06c66488c4c30285e0363ca0ad,e00a89e8381aefb07d23390b87fe5d48,0.9783,3,2,2,True,1,train,val,True,345,1064,
aa3d385635fdfe96d5194d0f0991b565,ef77487acc19480876090652206c7e05,0.9783,2,2,2,True,0,train,test,True,1083,1251,
198fa06f052feedc1684e42829c137fc,d3eb5180ac60d44370855f0c9c54f2b9,0.9782,3,2,2,True,1,train,test,True,661,941,
5acd1d61963dcd5d76670a85904815bf,7e8136cda906272497595cfb2088f4c4,0.9782,2,3,2,True,5,train,val,True,1266,1055,
1dd805b0572515c3eac56564cddf181c,c8cb1c570b772e3f7943e254ba096e9e,0.9777,2,4,2,False,0,val,train,True,97,1026,
8ef71bfdde4f67ce9c00e001e6946f5a,b75dff02d2f6c823b0a475ce346be0fb,0.9777,2,2,2,True,4,test,train,True,382,661,
abf5960dc8f8c6ba6b9d987a6dc603c0,fca1f600d0d453a15d9251eb505523fc,0.9777,7,2,2,False,0,train,test,True,824,1422,
5456189d4e5c15a790a868b70fd25625,5af696841a9c6453f9f667bdab0621e5,0.9776,2,3,2,True,4,val,train,True,275,148,
c979acbb9e62ffc47c44cd16adc3bfd2,fd5604231cba46e8cb162a987e1fb3e4,0.9776,2,2,2,True,1,train,test,True,843,1435,
621f180f39962cf8dc87f62cf681200b,d3108b3d03032e09e9c1f07492c110b8,0.9775,16,2,2,False,1,train,test,True,1026,941,
87c2116787ff620957ecc95521bc3c0f,b13de5e3add05a187e393d0eef314891,0.9773,2,2,2,True,3,train,test,True,751,611,
