id_a,id_b,cos,rank_ab,rank_ba,best_rank,isup_a,isup_b,tag,verdict
265e7f265773d27e1770a3cd3ce05677,a3fa13e9535729ec9cb08f17bc8c03cc,0.9900277853012085,2,2,2,0,0,unknown r2,not_twin
275adc34d57f1e6ce223e7a462569fbe,738aeefd8bc05ac71e2ea552828e97da,0.986172080039978,2,2,2,0,0,unknown r2,twin
66cad79a848b2b9476a2517a80314327,8ca4eea53dab8fb41f2ba01deb4e84db,0.9854975938796997,3,2,2,1,1,unknown r2,not_twin
265e7f265773d27e1770a3cd3ce05677,c6441fa162ce23651c241f1014f96681,0.9853191375732422,3,2,2,0,0,unknown r2,not_twin
318cb948ba8cb28995204b0a7ebba6d4,d8b48c0404394e83af61c15ad7eea1a3,0.9851268529891968,2,3,2,1,1,unknown r2,not_twin
995b9aea3d7f6ccda0440b9ec2bfc058,9e1d450a04253ab097601c9934fb5e6a,0.98492431640625,2,2,2,0,0,unknown r2,not_twin
6aea011ff6ec9fe22091bb4cc83fe56c,c2edf539162ecaea59933196e84de2f5,0.9845927357673645,2,2,2,1,1,unknown r2,twin
136cae2844e9f6fd15f09ccc9453e0b6,1d33889037497d32695ac48a786af6d5,0.9841848611831665,2,2,2,3,3,unknown r2,twin
264e5e8732450598190acec51da65cdc,85b7018a9e5287342a1392fb02ce24a1,0.9841220378875732,3,2,2,0,0,unknown r2,not_twin
66f5cc9041b6485114cf9555c31e908d,bacad594d4d9ad882eda3a6738326d52,0.9840830564498901,2,2,2,0,0,unknown r2,not_twin
a3fa13e9535729ec9cb08f17bc8c03cc,a45b686526ef8327fbd9e8b770984567,0.9844436049461365,4,3,3,0,0,unknown r3,not_twin
66cad79a848b2b9476a2517a80314327,af6fbe10ab6b3bb50812e4c44b54438f,0.9831634759902954,4,3,3,1,1,unknown r3,not_twin
318cb948ba8cb28995204b0a7ebba6d4,5e063bb2352ec2d6dfefa038d9bcb70d,0.9829685091972351,3,3,3,1,1,unknown r3,not_twin
38a49c3566f387a867629c5f6c31a72a,6e320ef7485ec6c55962007956985821,0.9824020266532898,5,3,3,0,0,unknown r3,not_twin
5edc82d679cc29b4d7720bdc45c1ad45,6e320ef7485ec6c55962007956985821,0.9824011325836182,3,4,3,0,0,unknown r3,not_twin
79538de71a078ec7348f0340f8a7e995,d8b48c0404394e83af61c15ad7eea1a3,0.9823241829872131,3,5,3,1,1,unknown r3,not_twin
66f5cc9041b6485114cf9555c31e908d,a3fa13e9535729ec9cb08f17bc8c03cc,0.9822249412536621,3,5,3,0,0,unknown r3,not_twin
a3fa13e9535729ec9cb08f17bc8c03cc,c6441fa162ce23651c241f1014f96681,0.9821402430534363,7,3,3,0,0,unknown r3,not_twin
21f3767f9a827e5b9f64d2a47594ad27,cee7b2752a60314af93ae14dae4124ec,0.9817559719085693,3,3,3,0,0,unknown r3,not_twin
8fb12946881047895dd14ed095a99367,fc841358b1ae7c119b6224d0076046f4,0.9806700944900513,3,4,3,1,1,unknown r3,not_twin
1894dd1e67ddfc62a309e78ef7ffc5e3,a45b686526ef8327fbd9e8b770984567,0.9840196371078491,4,4,4,0,0,unknown r4,not_twin
