slide_id,category,pyramid_level,downsample_factor,background_pct_l0,background_pct_pyr,background_diff_pp,background_l0_px,background_pyr_px,stroma_pct_l0,stroma_pct_pyr,stroma_diff_pp,stroma_l0_px,stroma_pyr_px,benign_pct_l0,benign_pct_pyr,benign_diff_pp,benign_l0_px,benign_pyr_px,g3_pct_l0,g3_pct_pyr,g3_diff_pp,g3_l0_px,g3_pyr_px,g4_pct_l0,g4_pct_pyr,g4_diff_pp,g4_l0_px,g4_pyr_px,g5_pct_l0,g5_pct_pyr,g5_diff_pp,g5_l0_px,g5_pyr_px
91939627c20f2e47fa4be433363bfd6d,common,2,16.0,74.399315,74.410273,-0.010958,82937928,324024,20.309873,20.302855,0.007019,22640784,88410,2.368383,2.367633,0.00075,2640196,10310,2.922174,2.919009,0.003165,3257544,12711,0.000255,0.00023,2.5e-05,284,1,0.0,0.0,0.0,0,0
eb341a42f1e27d3af125fa1bcba8c799,common,2,16.0,88.220338,88.216169,0.004169,163099164,637076,10.749671,10.753057,-0.003386,19873676,77656,0.043348,0.043618,-0.00027,80140,315,0.986643,0.987155,-0.000513,1824076,7129,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
b470c2276d978f63d5b1c8a5a9446212,common,2,16.0,82.713598,82.715826,-0.002228,134704852,526205,13.663694,13.669674,-0.005981,22252276,86961,0.089821,0.090072,-0.000251,146280,573,3.50149,3.492675,0.008815,5702420,22219,0.031397,0.031753,-0.000356,51132,202,0.0,0.0,0.0,0,0
c9c295e486e0f7f7dfb4f0fde6ff8240,common,2,16.0,80.267408,80.267961,-0.000553,168858996,659610,15.615554,15.61563,-7.6e-05,32850528,128323,0.291115,0.289379,0.001736,612420,2378,3.814167,3.815348,-0.001181,8023884,31353,0.011756,0.011682,7.4e-05,24732,96,0.0,0.0,0.0,0,0
ba79259f809a3397afb951e3f604bd90,common,2,16.0,83.252042,83.249166,0.002876,221732076,866111,14.265925,14.271269,-0.005344,37995624,148476,0.854381,0.854588,-0.000207,2275544,8891,0.239228,0.23847,0.000758,637156,2481,1.388424,1.386507,0.001916,3697904,14425,0.0,0.0,0.0,0,0
8e6db17e55f22d47faaeed270a79d288,common,2,16.0,74.04815,74.045809,0.002341,75412816,294572,20.142509,20.138302,0.004206,20513724,80115,0.051907,0.050776,0.001131,52864,202,0.046817,0.046754,6.3e-05,47680,186,5.710617,5.718358,-0.007741,5815860,22749,0.0,0.0,0.0,0,0
cf8ab5a2ce0ff0b3d025ddb3ba1937a2,common,2,16.0,73.180297,73.179881,0.000416,116061844,453364,22.068734,22.069183,-0.000449,35000376,136723,1.182059,1.183981,-0.001922,1874712,7335,0.0,0.0,0.0,0,0,3.56891,3.566955,0.001955,5660188,22098,0.0,0.0,0.0,0,0
687d89772580c411d434b346e1e6c505,common,2,16.0,77.131204,77.136065,-0.004861,22342528,87281,18.115303,18.101315,0.013988,5247444,20482,0.122471,0.123727,-0.001257,35476,140,0.0,0.0,0.0,0,0,4.631022,4.638893,-0.007871,1341464,5249,0.0,0.0,0.0,0,0
a36b91d58c9dae658708fac3ae14b969,common,2,16.0,87.460635,87.463002,-0.002367,167025240,652460,11.59274,11.586576,0.006164,22138876,86434,0.946625,0.950423,-0.003797,1807788,7090,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
fc5e5378432ef4e92306f05b309c4ebb,common,2,16.0,87.846348,87.843675,0.002674,323318640,1262925,11.602619,11.605026,-0.002407,42703460,166845,0.551032,0.551299,-0.000266,2028076,7926,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
