2026-07-15 18:02:00 | job 5226906 | STARTING | age=18s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:02:45 | job 5226906 | STARTING | age=63s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:03:30 | job 5226906 | STARTING | age=108s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:04:15 | job 5226906 | STARTING | age=153s | DDP backend=nccl | cuDNN=0 | UNI2_CKPT=/common/omarmlab/members/anh/panda_project/assets/ckpts/uni2-h/pytorch_model.bin |  | last=[] fail=[]
2026-07-15 18:07:15 | job 5226906 | OK | age=92s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:10:15 | job 5226906 | OK | age=273s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:13:16 | job 5226906 | OK | age=453s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:16:16 | job 5226906 | OK | age=633s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:19:16 | job 5226906 | OK | age=813s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:22:16 | job 5226906 | OK | age=993s | last=[Select best by: cancer_dice ] fail=[]
2026-07-15 18:25:16 | job 5226906 | OK | age=75s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:28:16 | job 5226906 | OK | age=255s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:31:16 | job 5226906 | OK | age=435s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:34:17 | job 5226906 | OK | age=616s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:37:17 | job 5226906 | OK | age=796s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:40:17 | job 5226906 | OK | age=976s | last=[Select best by: cancer_dice Epoch 001/100 | train_loss=0.3120 | val_loss=0.3060 | lr=1.00e-04 | frozen=True | validated=1 | 1071s   mean_dice: 0.529  cancer_dice: 0.531 ] fail=[]
2026-07-15 18:43:17 | job 5226906 | OK | age=68s | last=[  mean_dice: 0.529  cancer_dice: 0.531 Epoch 002/100 | train_loss=0.2893 | val_loss=0.2863 | lr=9.99e-05 | frozen=True | validated=1 | 1063s   mean_dice: 0.549  cancer_dice: 0.558 ] fail=[]
2026-07-15 18:46:17 | job 5226906 | OK | age=248s | last=[  mean_dice: 0.529  cancer_dice: 0.531 Epoch 002/100 | train_loss=0.2893 | val_loss=0.2863 | lr=9.99e-05 | frozen=True | validated=1 | 1063s   mean_dice: 0.549  cancer_dice: 0.558 ] fail=[]
2026-07-15 18:49:17 | job 5226906 | OK | age=429s | last=[  mean_dice: 0.529  cancer_dice: 0.531 Epoch 002/100 | train_loss=0.2893 | val_loss=0.2863 | lr=9.99e-05 | frozen=True | validated=1 | 1063s   mean_dice: 0.549  cancer_dice: 0.558 ] fail=[]
2026-07-15 18:52:18 | job 5226906 | OK | age=609s | last=[  mean_dice: 0.529  cancer_dice: 0.531 Epoch 002/100 | train_loss=0.2893 | val_loss=0.2863 | lr=9.99e-05 | frozen=True | validated=1 | 1063s   mean_dice: 0.549  cancer_dice: 0.558 ] fail=[]
2026-07-15 18:55:18 | job 5226906 | OK | age=789s | last=[  mean_dice: 0.529  cancer_dice: 0.531 Epoch 002/100 | train_loss=0.2893 | val_loss=0.2863 | lr=9.99e-05 | frozen=True | validated=1 | 1063s   mean_dice: 0.549  cancer_dice: 0.558 ] fail=[]
