ts,event,epoch,n_slides,host_rss_gb,cuda_alloc_gb,cuda_peak_gb,cuda_reserved_gb
2026-08-01 14:06:27,start,1,0,5.9255,2.7485,2.7485,2.7910
2026-08-01 14:06:35,train_slide,1,1,5.9255,3.4779,25.5377,27.0156
2026-08-01 14:07:02,train_slide,1,2,5.9255,3.7194,27.4421,28.7188
2026-08-01 14:07:20,train_slide,1,3,5.9255,3.7298,27.4421,28.7188
2026-08-01 14:07:42,train_slide,1,4,5.9255,3.7264,27.4421,28.7188
2026-08-01 14:08:05,train_slide,1,5,5.9255,3.7208,27.4421,28.7188
2026-08-01 14:08:33,train_slide,1,6,5.9255,3.7307,27.5022,28.7188
2026-08-01 14:09:01,train_slide,1,7,5.9255,3.7315,27.5032,28.7188
2026-08-01 14:09:22,train_slide,1,8,5.9255,3.7246,27.5032,28.7188
2026-08-01 14:09:50,train_slide,1,9,5.9255,3.7312,27.5032,28.7188
2026-08-01 14:10:14,train_slide,1,10,5.9255,3.7192,27.5032,28.7188
2026-08-01 14:10:43,train_slide,1,11,5.9255,3.7296,27.5032,28.7188
2026-08-01 14:10:55,train_slide,1,12,5.9255,3.6025,27.5032,28.7188
2026-08-01 14:11:22,train_slide,1,13,5.9255,3.7312,27.5032,28.7188
2026-08-01 14:11:46,train_slide,1,14,5.9255,3.7312,27.5032,28.7188
2026-08-01 14:11:54,train_slide,1,15,5.9255,3.5211,27.5032,28.7188
2026-08-01 14:12:18,train_slide,1,16,5.9255,3.7314,27.5032,28.7188
2026-08-01 14:12:47,train_slide,1,17,5.9255,3.7328,27.5035,28.7188
2026-08-01 14:13:15,train_slide,1,18,5.9255,3.7312,27.5035,28.7188
2026-08-01 14:13:43,train_slide,1,19,5.9255,3.7208,27.5035,28.7188
2026-08-01 14:14:04,train_slide,1,20,5.9255,3.7187,27.5035,28.7188
2026-08-01 14:14:28,train_slide,1,21,5.9255,3.7307,27.5035,28.7188
2026-08-01 14:14:45,train_slide,1,22,5.9255,3.7235,27.5035,28.7188
2026-08-01 14:15:11,train_slide,1,23,5.9255,3.7331,27.5035,28.7188
2026-08-01 14:15:38,train_slide,1,24,5.9255,3.7268,27.5035,28.7188
2026-08-01 14:16:05,train_slide,1,25,5.9255,3.7252,27.5035,28.7188
2026-08-01 14:16:29,train_slide,1,26,5.9255,3.7255,27.5035,28.7188
2026-08-01 14:16:51,train_slide,1,27,5.9255,3.7195,27.5035,28.7188
2026-08-01 14:17:18,train_slide,1,28,5.9255,3.7187,27.5035,28.7188
2026-08-01 14:17:40,train_slide,1,29,5.9255,3.7187,27.5035,28.7188
2026-08-01 14:18:03,train_slide,1,30,5.9255,3.7307,27.5035,28.7188
2026-08-01 14:18:32,train_slide,1,31,5.9255,3.7328,27.5035,28.7188
2026-08-01 14:19:00,train_slide,1,32,5.9255,3.7312,27.5035,28.7188
2026-08-01 14:19:05,train_slide,1,33,5.9255,3.4561,27.5035,28.7188
2026-08-01 14:19:32,train_slide,1,34,5.9255,3.7312,27.5035,28.7188
2026-08-01 14:19:58,train_slide,1,35,5.9255,3.7328,27.5035,28.7188
2026-08-01 14:20:26,train_slide,1,36,5.9255,3.7312,27.5035,28.7188
2026-08-01 14:20:48,train_slide,1,37,5.9255,3.7204,27.5035,28.7188
2026-08-01 14:21:14,train_slide,1,38,5.9255,3.7247,27.5035,28.7188
2026-08-01 14:21:35,train_slide,1,39,5.9255,3.7315,27.5035,28.7188
2026-08-01 14:21:51,train_slide,1,40,5.9255,3.6712,27.5035,28.7188
2026-08-01 14:22:14,train_slide,1,41,5.9255,3.7192,27.5035,28.7188
2026-08-01 14:22:36,train_slide,1,42,5.9255,3.7247,27.5035,28.7188
2026-08-01 14:22:54,train_slide,1,43,5.9255,3.7187,27.5035,28.7188
2026-08-01 14:22:59,train_slide,1,44,5.9255,3.4557,27.5035,28.7188
2026-08-01 14:23:27,train_slide,1,45,5.9255,3.7312,27.5035,28.7188
2026-08-01 14:23:45,train_slide,1,46,5.9255,3.7186,27.5035,28.7188
2026-08-01 14:24:02,train_slide,1,47,5.9255,3.7249,27.5035,28.7188
2026-08-01 14:24:25,train_slide,1,48,5.9255,3.7204,27.5035,28.7188
2026-08-01 14:24:25,val_start,1,48,5.9255,3.7204,27.5035,28.7188
2026-08-01 14:27:18,val_end,1,48,5.9255,3.8172,27.5035,40.1016
