image_id,x,y,labeled_frac,n_labeled,n_unannotated,n_benign,n_g3,n_g4,n_g5
00f6ea010b008e7b3635910a13b165a5,5632,512,0.094116,24672,237472,24672,0,0,0
00f6ea010b008e7b3635910a13b165a5,7168,512,0.026405,6922,255222,0,6922,0,0
00f6ea010b008e7b3635910a13b165a5,5120,1024,0.025955,6804,255340,6804,0,0,0
00f6ea010b008e7b3635910a13b165a5,5632,1024,0.319595,83780,178364,83780,0,0,0
00f6ea010b008e7b3635910a13b165a5,6144,1024,0.119385,31296,230848,31296,0,0,0
00f6ea010b008e7b3635910a13b165a5,6144,1536,0.107895,28284,233860,28284,0,0,0
00f6ea010b008e7b3635910a13b165a5,6656,1536,0.037674,9876,252268,9876,0,0,0
00f6ea010b008e7b3635910a13b165a5,7680,1536,0.045109,11825,250319,0,11825,0,0
00f6ea010b008e7b3635910a13b165a5,5120,2048,0.099812,26165,235979,26165,0,0,0
00f6ea010b008e7b3635910a13b165a5,5632,2048,0.248436,65126,197018,65126,0,0,0
00f6ea010b008e7b3635910a13b165a5,6144,2048,0.164299,43070,219074,43070,0,0,0
00f6ea010b008e7b3635910a13b165a5,7168,2048,0.029911,7841,254303,0,7841,0,0
00f6ea010b008e7b3635910a13b165a5,7680,2048,0.161175,42251,219893,0,42251,0,0
00f6ea010b008e7b3635910a13b165a5,4608,2560,0.043762,11472,250672,11472,0,0,0
00f6ea010b008e7b3635910a13b165a5,5120,2560,0.068729,18017,244127,18017,0,0,0
00f6ea010b008e7b3635910a13b165a5,5632,2560,0.24054,63056,199088,30112,32944,0,0
00f6ea010b008e7b3635910a13b165a5,6144,2560,0.111343,29188,232956,26180,3008,0,0
00f6ea010b008e7b3635910a13b165a5,4608,3072,0.044548,11678,250466,11678,0,0,0
00f6ea010b008e7b3635910a13b165a5,5120,3072,0.066502,17433,244711,0,17433,0,0
00f6ea010b008e7b3635910a13b165a5,5632,3072,0.101673,26653,235491,0,26653,0,0
00f6ea010b008e7b3635910a13b165a5,5120,3584,0.017647,4626,257518,0,4626,0,0
00f6ea010b008e7b3635910a13b165a5,5632,3584,0.127007,33294,228850,0,33294,0,0
00f6ea010b008e7b3635910a13b165a5,3584,4096,0.267517,70128,192016,0,70128,0,0
00f6ea010b008e7b3635910a13b165a5,4096,4096,0.411633,107907,154237,0,105086,2821,0
00f6ea010b008e7b3635910a13b165a5,4608,4096,0.213024,55843,206301,0,55843,0,0
00f6ea010b008e7b3635910a13b165a5,3072,4608,0.018845,4940,257204,0,4940,0,0
00f6ea010b008e7b3635910a13b165a5,3584,4608,0.490932,128695,133449,0,128695,0,0
00f6ea010b008e7b3635910a13b165a5,4096,4608,0.76696,201054,61090,0,201054,0,0
00f6ea010b008e7b3635910a13b165a5,4608,4608,0.402012,105385,156759,0,105385,0,0
00f6ea010b008e7b3635910a13b165a5,3072,5120,0.450439,118080,144064,0,118080,0,0
00f6ea010b008e7b3635910a13b165a5,3584,5120,0.666882,174819,87325,0,174819,0,0
00f6ea010b008e7b3635910a13b165a5,4096,5120,0.469521,123082,139062,0,123082,0,0
00f6ea010b008e7b3635910a13b165a5,4608,5120,0.070412,18458,243686,0,18458,0,0
00f6ea010b008e7b3635910a13b165a5,2560,5632,0.142933,37469,224675,0,37469,0,0
00f6ea010b008e7b3635910a13b165a5,3072,5632,0.554741,145422,116722,0,145422,0,0
00f6ea010b008e7b3635910a13b165a5,3584,5632,0.471077,123490,138654,0,123490,0,0
00f6ea010b008e7b3635910a13b165a5,4096,5632,0.358707,94033,168111,0,94033,0,0
00f6ea010b008e7b3635910a13b165a5,2048,6144,0.168201,44093,218051,0,44093,0,0
00f6ea010b008e7b3635910a13b165a5,2560,6144,0.498962,130800,131344,0,130800,0,0
00f6ea010b008e7b3635910a13b165a5,3072,6144,0.664394,174167,87977,0,174167,0,0
00f6ea010b008e7b3635910a13b165a5,3584,6144,0.136673,35828,226316,0,35828,0,0
00f6ea010b008e7b3635910a13b165a5,1536,6656,0.092148,24156,237988,0,24156,0,0
00f6ea010b008e7b3635910a13b165a5,2048,6656,0.436867,114522,147622,0,114522,0,0
00f6ea010b008e7b3635910a13b165a5,2560,6656,0.760468,199352,62792,0,199352,0,0
00f6ea010b008e7b3635910a13b165a5,3072,6656,0.535507,140380,121764,0,140380,0,0
00f6ea010b008e7b3635910a13b165a5,3584,6656,0.074188,19448,242696,0,19448,0,0
00f6ea010b008e7b3635910a13b165a5,1536,7168,0.247265,64819,197325,0,64819,0,0
00f6ea010b008e7b3635910a13b165a5,2048,7168,0.455814,119489,142655,0,119489,0,0
00f6ea010b008e7b3635910a13b165a5,2560,7168,0.625641,164008,98136,0,164008,0,0
00f6ea010b008e7b3635910a13b165a5,3072,7168,0.034027,8920,253224,0,8920,0,0
00f6ea010b008e7b3635910a13b165a5,1024,7680,0.065506,17172,244972,0,17172,0,0
00f6ea010b008e7b3635910a13b165a5,1536,7680,0.095562,25051,237093,0,25051,0,0
00f6ea010b008e7b3635910a13b165a5,2048,7680,0.204094,53502,208642,0,53502,0,0
00f6ea010b008e7b3635910a13b165a5,2560,7680,0.205944,53987,208157,0,53987,0,0
00f6ea010b008e7b3635910a13b165a5,1024,8192,0.180588,47340,214804,0,47340,0,0
00f6ea010b008e7b3635910a13b165a5,1536,8192,0.733486,192279,69865,0,192279,0,0
00f6ea010b008e7b3635910a13b165a5,2048,8192,0.405178,106215,155929,0,106215,0,0
00f6ea010b008e7b3635910a13b165a5,2560,8192,0.043003,11273,250871,0,11273,0,0
00f6ea010b008e7b3635910a13b165a5,1536,8704,0.180641,47354,214790,0,47354,0,0
00f6ea010b008e7b3635910a13b165a5,2048,8704,0.581245,152370,109774,0,152370,0,0
00f6ea010b008e7b3635910a13b165a5,2560,8704,0.067726,17754,244390,0,17754,0,0
00f6ea010b008e7b3635910a13b165a5,1536,9216,0.204399,53582,208562,0,53582,0,0
00f6ea010b008e7b3635910a13b165a5,2048,9216,0.461796,121057,141087,0,121057,0,0
00f6ea010b008e7b3635910a13b165a5,2560,9216,0.054619,14318,247826,0,14318,0,0
00f6ea010b008e7b3635910a13b165a5,1024,9728,0.011166,2927,259217,0,2927,0,0
00f6ea010b008e7b3635910a13b165a5,1536,9728,0.027466,7200,254944,0,7200,0,0
00f6ea010b008e7b3635910a13b165a5,1024,10240,0.028984,7598,254546,0,7598,0,0
00f6ea010b008e7b3635910a13b165a5,1536,10240,0.415276,108862,153282,0,108862,0,0
00f6ea010b008e7b3635910a13b165a5,2048,10240,0.249321,65358,196786,0,65358,0,0
00f6ea010b008e7b3635910a13b165a5,2560,10240,0.077583,20338,241806,0,20338,0,0
00f6ea010b008e7b3635910a13b165a5,1024,10752,0.051777,13573,248571,0,13573,0,0
00f6ea010b008e7b3635910a13b165a5,1536,10752,0.28244,74040,188104,0,58591,15449,0
00f6ea010b008e7b3635910a13b165a5,2048,10752,0.298405,78225,183919,0,61574,16651,0
00f6ea010b008e7b3635910a13b165a5,2560,10752,0.050167,13151,248993,0,12499,652,0
00f6ea010b008e7b3635910a13b165a5,1536,11264,0.770351,201943,60201,0,201943,0,0
00f6ea010b008e7b3635910a13b165a5,2048,11264,0.462219,121168,140976,0,115428,5740,0
