panda_plus_index,panda_plus_uuid,width,height,openslide_quickhash1,panda_image_id,has_panda_tiff
4,f75d73aa-0413-4cc0-a9af-d8e47dba8c35,23904,28664,c1ee5196f3de0bc2ea95acf73a7f15ff9774256c94a7e4a41505ed98dce7347a,,False
39,3b69dd72-274c-4341-8ef4-f39ff35160d8,8960,23296,edfc5c77c435a94d29a5eba9e8eec1a12774f7f4803e05fc5d45699fe9332d8c,00f6ea010b008e7b3635910a13b165a5,True
42,dfef1319-67a8-4f3b-90eb-d8b298719fb6,5632,26112,f22eee618b360809302c07664d85be10ec437751d0e410d6b05f78fa52d3d4e2,010670e9572e67e5a7e00fb791a343ef,True
43,efe47c8e-762e-4b54-9c45-298211dbf169,34816,4096,19df202d4d60cca872378ca44ce74655cf4e292577aa97550d3cd0fae311f24b,010dea54bfd0a4a1eb1c0719949bb4a4,True
46,5af840aa-8c5b-4746-9570-19a65d4e44d0,4352,15104,27aa1b1ef38db8f8d24819c7227207e7f5b1b9270852d0bd556b80b1ab381d27,01227af585a47c16680f927d21a7f06a,True
50,c0775eaa-bff4-4206-9b45-fc1016d5d279,25088,9216,a8e75f480ffadb6c5dcc1f01499abc2627487523dc3069abd632d99c5bc3a6be,01571191abf6e8e209111e819823759b,True
56,51732c2a-266d-4b7c-8225-93acfee745d6,8448,17664,d7217ebd24d8a5237e2a7cef61a45d2e7ba08e1c61d2aa449fd6450fd41c04d2,018eabc8f4503ab89d0725b430e4808f,True
61,85f5ce8e-62ca-403e-9890-84876ea5a7ed,21504,4864,8bac58150f7fab479775e6909c1d632b936f078f23d207368eb28d0a0c2f4791,01ad256f991cc99f46f8065cdf0bda01,True
62,e0c97411-1998-463b-9911-b2d184f93c73,3328,23296,03e609b63d622bded5595d34979bd31881f44f9aac7139b83d61435980223d40,01afe81220f729cf1c5b4d99f3abe559,True
72,6966f2ff-97d2-4379-9324-851e1cb0211a,8704,17152,df0302d90b9a7caf6bfb5ed83f24fe33e818a34c5a6ba9e7af19476a77d2ab03,01e5bb47fb34f075f87cbfbc8d630124,True
84,40948ec6-61bb-4c09-9e9c-6ccd8efc8ef5,6400,18944,6a6188f14e7eda9f20c5851436ad278429979896831f33da905ec6c97ea9c926,022544d1446c2c44f8ca8ff53262dc5b,True
86,f902235a-85e3-47ed-9917-e64e799170e8,23808,4864,043d3aa1dfa591330acd063c2609844d28538fcf9d6cffb6cf97aba0e87110e0,022a0bb891701b0161a7d4518415d0f4,True
89,bdf475ea-c1d5-460d-a9ad-48a7c4f9b39f,21248,7936,47be67f852c1fe2d5e85c988640503f28c18886ae1035ebbda8b474f0b8d3ce0,0240270d611683829ea5bee2a8c52eb0,True
95,bc4d8dbb-f9a4-4f34-b6d7-27ee7be79601,17664,4864,875f5427ec63fe3ce5b92681a7d243c96293669856ddaf8ca9ab0b9219781f9f,026dcf3b549e8fb23143ea82023f58be,True
381,39d29e2f-05db-4d12-b921-3dd0d10b8884,10240,27136,d43effb210e6166cd849f3efb0396cbb0442bfc8300b2e4ff4e9cd817ce7b788,09aa67c5eb010454e88598c6ac50c695,True
391,15705f03-40bc-4ec4-853d-9e35e2ee1585,24064,9216,44627ad5b0ef87ba32a5687705fa251dddc7287462362e0d98b183ca44f9c394,09f734438a9b2f3cf78c72eef5c45b30,True
396,73832e8a-e020-40ee-b028-2f01313f3f53,27904,7424,53db33bc917ca0757f5d40a64f9a09e2c98fa468189b2325e419756ec3f3430c,0a336d5bc71e1f83d453297413f11e9b,True
399,29420bcd-7bc0-44f8-a6b1-30b6eeeb806e,7424,24576,40be762058a98be5f2631c5953c9724ea5f0bcb3742e08fab037b2e0816ebe07,0a5b11fe9c149f5e2e41a5d16dc5f314,True
400,857bc507-bd2b-42fe-aa49-3664a9e137ae,16640,11008,19ff6dca1e176fb31d68a3489390d50a9b58702b9de1ca66f30438a987372869,,False
413,e66a148b-658c-4f65-a780-1c12bb7ba6d6,25088,3328,9386d87ea3ec92ebe75abc5560093b12132e942c1ec27e22f9428cafbc739fd6,0a93d9a674e358ba32e4e2ec320aefc5,True
414,fd18eb45-d10f-421b-b92c-016d41d71f8c,5888,21248,71560346d34a370df74379f24144831d7bfb491e15861f7c4e8882ce6d093da4,0a94d55951bd4caebf2712e455decc6e,True
416,8a19698a-6bb3-4b4a-866e-6c8e11706fce,18944,7168,2cbbbad9b4efed7d911dc302ea285c934ee921b8723610cf2932bc8ac6bafd7b,0aa144fb4a6597dd19b3e0de25151e11,True
448,e71a286c-42a5-4b65-ac3f-31c76a4f6074,24832,5376,e82631795b8b72a027f57a854fd99754b6269b60ba44406ed4490f4465f9f6cb,0b73719f81c77051bb4b0ece8647a48e,True
455,74175707-6acd-44bf-a324-73c750654f97,6912,28160,772a9247ca866bd1c6f2ddc9e0f9536702828b71689ad82ea9bcd60d40aa46ad,0ba540dcef7c6a994c4e0634cbff4af2,True
601,3bc3cbf3-00f4-43cf-a7db-0e80c8db14e6,11008,10496,568f52062142b297598a8f7edd4304e05fce3dc887d7028b6ab5403679390535,0f374b1b7edab897de6d3dcfecd1aac1,True
602,63f565fc-d43b-456f-96df-c07ebcc93515,10496,14848,e3aae585c8545bcad79e008aeccd8d3fa98f0f32e53cb32ce2112308ba3736eb,0f38ed2800802b352271d4384e9e4654,True
614,321889de-4c4a-4979-8cad-e6214bcbcf1a,5120,18688,3b90ce2ae8c3c4a1675c78ce3828d541d8d71dc188ff021a6d0f4be890fa261a,0f871f7b53fefec938ee7569319f74e2,True
623,8577608c-d218-43de-8f17-1d29d146f39c,20224,9216,7df9d0a28385e2e81e31810bcbd55d7ff9f14b6fcf5a137491c9f80383aae8e6,0fbd680b68f4245a539b628563484f28,True
625,3980e6a6-e982-4387-aa48-e2972a85b943,6912,24832,dc9c2303f131a839e0e9d7f8074655a35c956e7fe7e31ac1d7438641f7e61436,0fcc5673242af956da6637881d14c414,True
640,193c270b-d11b-4f9d-9542-92500ab1a337,23296,5888,8bef29f2676fafba6ddea9832f48f9af2fc13cc802140ae1c8d5e055d494d847,10218e6dc6a4fb9af7879333c11af510,True
641,3f871301-2d99-475c-88f7-c5033126bf0b,3584,15360,8a58544d70bb156d9bf57ebfa66705d4c59e0cc4309c345c4d1cc208ca74f4ca,102457e538762e4082f7ee8a4d1a9e16,True
3417,554c6019-2902-4bbd-b4a3-228b3bab2508,11264,20480,a0756b42b764f712ee8240e73d5d3be75a85df821306a96a4b07b74613a582a2,5554bf43ed8256dff3a716d9811a7afb,True
3482,a8df09c2-f68b-4cdf-8cbe-893d4e3832f0,3328,17664,e01397cca11485baeda57b8406ed0615a77f0ec0306f86a04e6274b4b3cf1f8d,56e6cfc2a0ae0f493cf1a98689ca2afe,True
3538,a87daa03-cb03-4f37-8d49-14c23f3c5dbb,3072,8448,fa24d1ea7547421ff104fc5b2e389eec3b54f03a08c4143023cacb3eb1b2fb66,586eb142ad433841c18b748e580ab771,True
3552,7230388f-0a0a-469b-9a40-4af97076f9bd,29696,5632,14f7a5686c5c337fd58598dff483cb4d879869d60d6402f96ccf9b12a3180bed,58c9ebcb84cf500f25352367f27fba56,True
3554,91d048d3-eea2-4263-91cd-bea49de93238,13312,16896,9ae19ba7052c0d0c94f6ddcbaf9fb5de87d136bdd874af752479eafa89b1aa01,58d439e1cf180a952bd059b6be710665,True
3569,8a5b5a83-e9aa-4692-beb4-115c90ecee0a,8192,22528,2ae2203b36f80259ffefe8dafba9ada49d8e504db3481fd88cec324611df18a0,591da133fabcfdfa629d09729d356cda,True
3587,3e4ca2fa-4ade-4c22-8fa8-0e96d0fa72a8,5376,23296,7837cce5dcc989a9ad5b9fbc9c2152f6df9b1e6b3f9e47c0442fddc3c603b7c7,599648926096c44487968b630f9b4fb9,True
3588,04003de7-0a1b-4bc2-9945-608f10373187,17152,12032,30e4f06b1ab0d1c20974137766fb15bfbf9e95186cbb25b63e2e03a4db554125,59a0932027596ac986f52a74d30217bd,True
3591,d7d0870b-0ef4-4fbc-9d42-cfe8154a6165,5888,15360,b25398b7f777a319df906e87d21cdd6519b72f455a79b38eec7756e7869ba194,59aa903a1ceb3e9793bedda411a4a2cd,True
3600,73142d38-5315-49df-87ba-0d45355c6040,7936,30976,7754c17c13959b8ece881774a9e18bfaf951db0be646723e5908da0bccf703dc,59df439b2cd91c2cd68f3a0917ab470d,True
4803,0c8908d7-8c46-4c83-9032-38cecf84b195,10240,18432,f9399c9553be710452a3bc4655025adbcc9a083af5d3cf0dee3e22841a27aeac,76b8865c3acb3c9ac2d796f523bd2da7,True
5099,5b995e19-4bb8-495c-a98f-9421d654164e,9728,22784,ed17c7f49ed1442b6a0bfe0135adcf98d9f674a8d2a5fd10ab568c4068787b11,7e059274c3afb96b3a33191c804d5a0f,True
5845,a1fbf7bf-4eac-4e43-9ea0-cc8f0db93195,28928,6656,193078b6fcd43f48ba4117a831c69fdf849e6a022337169908dd72a5008adf0e,8f4389cc541dbe6eb4bcd793d0626891,True
6002,d53d83e3-12b3-4b0c-b872-a73c7646b178,9216,19200,af671573083eba2fa4e786e6304b2aaa20cc87250085940e5228ce43a72efb63,9362ecc68839f01d586019a2782f3552,True
