slide_id,n_features,is_benchmark_slide,count_Benign,area_Benign,count_GP3,area_GP3,count_GP4,area_GP4,count_GP5,area_GP5,total_area
4,48,False,0,0.0,13,741215.7645738572,30,10832893.271251379,5,667830.5213832613,12241939.557208497
39,74,False,6,413098.0000000065,58,5715868.832590627,10,144406.65883179195,0,0.0,6273373.491422425
42,230,False,1,14673.0,68,2346586.7373713795,101,12832104.04850234,60,1537540.6449068654,16730904.430780586
43,88,False,5,154819.5,6,82156.15005379915,32,1349681.0822060965,45,5303646.858381524,6890303.590641419
46,93,False,24,1868118.0956942025,47,3192693.0825773953,21,394372.0805797521,1,7755.412572443485,5462938.671423793
50,187,False,8,930176.8911462352,68,1703054.3419002648,94,7450144.132178459,17,114323.49460270628,10197698.859827666
56,95,False,9,385138.5,37,2225520.2447946593,49,3554392.535807077,0,0.0,6165051.280601736
61,323,False,13,638486.5,204,4376793.7165668635,103,2816914.7554339482,3,6565.149513303302,7838760.121514115
62,54,False,0,0.0,11,122571.27511652559,35,5942776.65956318,8,29309.403936297167,6094657.338616002
72,250,False,19,552407.4518367341,128,5444718.160060655,77,1761111.9706468163,26,350750.96338669956,8108988.545930905
84,75,False,7,314269.1941477008,66,8680323.295062764,1,48108.83836818859,1,2525.8467907831073,9045227.174369436
86,95,False,8,455267.5628615841,35,994714.4462735131,48,11346358.650810048,4,6411.1232156306505,12802751.783160776
89,170,False,48,1877902.5,55,2650758.95040307,64,2579648.4947379986,3,37552.668702045456,7145862.613843114
95,61,False,9,282100.5000000028,14,501991.27937297523,33,1689605.1910606136,5,1496978.5791107835,3970675.5495443754
381,176,False,19,2751414.0,157,3709897.89550798,0,0.0,0,0.0,6461311.89550798
391,104,True,1,330826.65228790464,40,1795125.6857597372,59,9234549.990516912,4,34421.88359001279,11394924.212154567
396,80,False,4,143792.5,23,684104.6872936031,42,5971902.836123012,11,2520076.517928769,9319876.541345384
399,98,False,0,0.0,46,6377958.24529375,49,4616084.386457209,3,59676.56625428796,11053719.198005248
400,53,False,7,406638.5,31,3292709.1147953738,15,1476074.7318473235,0,0.0,5175422.346642697
413,70,False,15,585520.5176158799,44,9321431.8398067,11,980635.1475205874,0,0.0,10887587.504943166
414,118,False,30,3673685.4707309976,32,993185.6633852506,56,5857473.26130605,0,0.0,10524344.395422298
416,68,True,17,1405590.0,26,2004515.0023824135,23,7416246.21022348,2,6472.0,10832823.212605894
448,306,False,4,226607.0,64,2130655.450365316,105,1923057.0899786153,133,1225708.0808645163,5506027.621208447
455,213,False,109,6919558.224862881,53,1972949.5826203395,48,591415.4554204997,3,12595.233406463638,9496518.496310184
601,49,False,0,0.0,36,7597802.735695733,10,255384.71584773925,3,4528.585404032376,7857716.036947504
602,126,False,10,1210896.5,92,9415080.33814101,24,310270.5100411549,0,0.0,10936247.348182164
614,105,False,13,681831.5,64,929889.4448996736,27,314008.0843243683,1,1255.540701508522,1926984.5699255504
623,130,False,54,2203775.0,50,1549872.6409415992,25,876081.5395173174,1,64264.58785523102,4693993.768314147
625,171,False,83,5170484.0,80,982831.4142973404,8,1490761.376594279,0,0.0,7644076.790891619
640,301,False,2,39662.0,137,3422067.052121357,127,4895243.390535552,35,140816.45068976982,8497788.893346678
641,240,False,0,0.0,172,2000078.7038329989,66,880497.2010554662,2,2606.790036054328,2883182.6949245194
3417,44,False,0,0.0,2,15237.0,5,1025213.515104115,37,5938361.61476345,6978812.129867565
3482,65,False,18,597056.0590895899,43,10276327.040878031,4,83546.84507986158,0,0.0,10956929.945047483
3538,61,False,4,86215.0649424633,13,201482.01990228368,42,3076314.5674585574,2,27665.648255617125,3391677.300558922
3552,105,False,13,454097.0,36,1872580.9759733705,56,8823523.961455755,0,0.0,11150201.937429126
3554,50,False,1,222872.0,23,640959.1351397501,26,1865194.4672297984,0,0.0,2729025.6023695488
3569,62,False,1,43329.0,46,4286842.13358859,15,334131.3764474578,0,0.0,4664302.510036048
3587,77,False,18,2723115.5,52,2908397.084413613,7,276063.8454939211,0,0.0,5907576.429907534
3588,119,False,6,651004.5,62,11890647.097399382,51,2804401.8404373685,0,0.0,15346053.437836751
3591,68,False,5,118895.87822070345,35,5164734.513212217,28,5315085.866588436,0,0.0,10598716.258021357
3600,57,False,1,2004389.1007637233,23,683984.0731532709,29,6693601.211937438,4,61799.858644895256,9443774.244499328
4803,53,False,3,58331.5,13,283819.76234621555,20,1021428.6051593982,17,251934.31229216233,1615514.179797776
5099,302,False,0,0.0,2,21162.350614093244,92,2374301.4088449944,208,3309850.449687954,5705314.209147042
5845,117,False,4,306656.5,52,1397949.4848372228,55,13069482.746520158,6,37087.67242895067,14811176.403786331
6002,141,False,4,381564.0,81,4043621.624532764,56,5597687.451863226,0,0.0,10022873.076395988
6004,88,False,9,515747.0,15,142832.46643813327,62,710685.2652720176,2,26803.307294839993,1396068.0390049908
6018,90,False,0,0.0,59,5133177.634434431,30,3677092.839851328,1,6570.047144167125,8816840.521429926
6060,45,False,0,0.0,0,0.0,9,310752.5,36,10369311.691020701,10680064.191020701
9001,86,False,10,379272.50000000745,49,2992483.7428128794,23,1536293.0914771464,4,499748.11581925675,5407797.45010929
9004,146,False,13,520706.5,133,8317453.868909566,0,0.0,0,0.0,8838160.368909566
